longitude,latitude,CWP_NAME,STATE_WATER_BODY_NAME
-80.7564,37.3422,PEARISBURG TOWN - SEWAGE TREAT,NEW RIVER
-79.405889,34.748702,PILKINGTON NORTH AMERICAN WWTP,
-101.939722,47.465358,MANDAREE WASTEWATER TREATMENT LAGOONS,
-87.46454,41.50069,SCHERERVILLE WWTP,LITTLE CALUMET R VIA SCHERERVILLE D
-85.337624,35.048809,CHATT.-MOCCASIN BEND STP,TENNESSEE RI
-74.104639,44.932111,CHATEAUGAY (V) WWTP,CHATEAUGAY R
-110.222349,35.825006,KEAMS CANYON SEWAGE LAGOON,KEAMS CANYON WASH
-117.135865,32.689496,UNKNOWN,
-110.674167,35.052778,WINSLOW WWTP,RUBY WASH
-77.144722,39.36,"PHEASANT RIDGE MHP,LLC.",PATAPSCO RIVER
-80.5751,28.4701,PATRICK AFB,BANANA RIVER
-95.616667,29.708333,GULF COAST WASTE DISPOSAL AUTH,HCFC DITCH D100-BRAYS BAY
-95.000206,29.729394,UNKNOWN,
-96.890833,33.068889,UNKNOWN,823
-87.2619,37.3886,SACRAMENTO STP,POND RIVER
-94.112917,36.464139,"PEA RIDGE, CITY OF","OTTER CR,BIG SUGAR CR,ELK R"
-87.079306,38.871222,ELNORA WASTEWATER TREATMENT PLANT,TRIBUTARY/VERTREES DT/W FK WHITE R
-106.0525,39.503611,IOWA HILL WATER RECLAMATION,BLUE RIVER
-88.16671,41.70105,NAPERVILLE-SPRINGBROOK WRC,DUPAGE RIVER
-98.191056,28.460444,THREE RIVERS WWTP,NUECES/LOWER FRIO RIVER
-112.15036,36.049614,GRAND CANYON SOUTH RIM WWTP,BRIGHT ANGEL WASH
-99.834806,33.39175,CITY OF O'BRIEN WWTF,"CHINA BRANCH, BRAZOS RIVER ABOVE PO"
-85.135556,36.876667,USACE WOLF CREEK DAM GROUTING,CUMBERLAND RIVER
-74.299944,41.270222,WARWICK (T) SD#1,LONGHOUSE CK TR
-79.04848,39.48151,PIEDMONT CITY OF,North Branch of the Potomac
-123.23,44.219,JUNCTION CITY  STP,CROW CREEK
-85.730556,40.836111,LAGRO MUNICIPAL STP,WABASH RIVER
-75.068611,38.387222,OCEAN CITY WWTP,COASTAL AREA
-96.235194,35.248806,WETUMKA-SOUTH WWTF,520500020035_00 trib/ Wewoka Ck
-97.69378,41.69997,LINDSAY WASTEWATER TREATMENT FACILITY,SHELL CR-PLATTE
-98.47175,40.854083,ALDA WASTEWATER TREATMENT FACILITY,WOOD RIVER
-95.65516,40.39743,BROWNVILLE WASTEWATER TREATMENT FACILITY,MISSOURI RIVER
-71.451444,41.736483,WARWICK WWTF,PAWTUXET RIVER
-86.340722,38.201944,LEAVENWORTH WWTP,TEXAS CREEK TO THE BLUE RIVER
-97.485694,43.365167,FREEMAN - CITY OF,UNNAMED TRIB OF JAMES RIVER
-85.173139,40.748139,BLUFFTON WWTP,WABASH RIVER
-121.90444,38.34648,EASTERLY WWTP,OLD ALAMO CREEK AND NEW ALAMO CREEK
-84.5542,43.0125,ST JOHNS WWTP,ST JOHNS BIG DITCH DRAIN
-97.466917,42.863028,SD GFP - CHF WHITE CRANE,Yankton Lake to Missouri River
-109.439,47.074583,LEWISTOWN WWTP,BIG SPRING CREEK
-74.983861,40.821583,OXFORD AREA WTF,PEQUEST RIVER
-94.200583,39.361139,HOMESTEAD VILLAGE WWTF,E. Fk. Fishing R.
-91.1525,41.890278,STANWOOD CITY OF STP,
-84.466667,46.25,KINROSS TWP WWTP,HUTTON CREEK
-74.159056,41.116222,WESTERN RAMAPO AWTP,RAMAPO R
-94.78142,31.18806,CITY OF DIBOLL WWTP,"UNNAMED TRIB, WHITE OAK CREEK, FIBE"
-73.371056,42.330528,WEST STOCKBRIDGE W W T F,WILLIAMS RIVER
-76.235779,40.671757,GREATER POTTSVILLE AREA SA,WEST BRANCH SCHUYLKILL RIVER
-102.051106,45.006928,FAITH - CITY OF,Unnamed Tributary of Spook Creek
-88.71525,43.642194,WAUPUN CITY WWTF,ROCK R S BR
-91.416667,44.333333,INDEPENDENCE WASTEWATER TREATM,ELK CR
-83.183149,38.731752,SHAWNEE STATE PARK CAMPGROUND WWTP,Turkey Creek
-89.083056,39.918333,"WARRENSBURG STP, VILLAGE OF",DTCH-SOUTH FK-LAKE FK-SALT-SANGAMON
-89.223333,37.908333,"ELKVILLE STP, VILLAGE OF",LITTLE MUDDY RIVER
-77.078333,37.348333,CHARLES CITY COUNTY SCHOOLS WW,COURTHOUSE CREEK
-82.0711,37.0811,BUCHANAN CNTY PUBLIC SCHOOLS -,RUSSELL FORK RIVER
-81.143122,37.337923,GREEN VALLEY-GLENWOOD PSD,Brush Creek - Bluestone River - New
-77.357332,38.048702,BOWLING GREEN WASTEWATER TREAT,TRIBUTARY TO MATTAPONI RIVER
-81.48175,41.00945,UPPER TUSCARAWAS WWTP NO 36,Tuscarawas River
-98.33975,32.06375,DUBLIN WWTF,"RESLEY CREEK, LEON RIVER BELOW PROC"
-76.524028,38.812056,BROADWATER WATER RECLAMATION F,MIDDLE CHESAPEAKE BAY
-75.6321,39.96601,WEST CHESTER TAYLOR RUN WWTP,Taylor Run
-87.283417,40.288,WILLIAMSPORT WASTEWATER TREATMENT PLANT,WABASH RIVER
-84.444528,33.096167,CONCORD NORTH POND #2,ELKINS CR
-75.457966,40.120939,OAKS WWTP,Schuykill River
-89.661748,35.084256,COLLIERVILLE STP,WOLF RIVER @ MI 30.9
-87.187167,39.152389,JASONVILLE MUNICIPAL WWTP,EEL R (WHITE) VIA HOWESVILLE DITCH
-95.396583,28.968278,CITY OF FREEPORT WWTP,GOLF COURSE IRRIGATON PONDS/BRAZOS
-103.50364,41.78994,MINATARE WASTEWATER TREATMENT FACILITY,NORTH PLATTE R
-91.1975,34.584722,"HOLLY GROVE, CITY OF","DIAL CK,CUT BLUFF SLU,WHITE RV"
-123.3567,42.9508,RIDDLE  STP,COW CREEK (RM 2.0)
-74.931285,39.004724,LOWER TOWNSHIP MUA,
-79.305278,37.306389,BEDFORD COUNTY SCHOOLS - NEW L,BUFFALO CREEK
-89.575278,35.376111,NORTH WEST SCHOOL,BEAVER CR
-93.003494,31.738775,"NATCHITOCHES, CITY OF",
-91.144361,44.316278,TAYLOR WASTEWATER TREATMENT FA,TREMPEALEAU R
-80.215833,32.985278,COMM OF PW/SUMMERVILLE WWTF,ASHLEY RV
-74.361222,41.746472,NAPANOCH SEWER IMP AREA,RONDOUT CK
-74.023083,42.710222,ALTAMONT (V) WWTF,BOZEN KILL CK
-76.214444,43.205139,OAK ORCHARD STP,ONEIDA R
-78.8278,38.2861,GROTTOES WWTP,SOUTH RIVER
-78.009722,38.481944,CULPEPER WASTEWATER TREATMENT,MOUNTAIN RUN
-121.280625,45.686852,LYLE POTW,
-68.436667,44.623889,GREEN LAKE NAT'L FISH HATCHERY,Reeds Brook
-89.06875,32.986972,"NOXAPATER POTW, SOUTH",GUM BRANCH
-80.007901,39.571194,UNKNOWN,KANAWHA RIVER
-112.270806,33.781889,CENTRAL AZ WATER CONSERVATION,AGUA FRIA RIVER
-90.589861,38.253056,HILLSBORO,BELEW CR
-77.517222,37.152778,ROHOIC CREEK WASTEWATER TREATM,HATCHER RUN
-74.336972,42.598194,MIDDLEBURGH (V) WWTP,SCHOHARIE CK
-157.86996,21.31938,B117 BARBERS POINT,
-81.702616,30.488436,FLORIDA AIR NATIONAL GUARD,
-68.141333,46.759389,WASHBURN WWTF,Aroostook River
-116.196944,33.715278,VALLEY SD WWTP,C.V. STORM CHANNEL
-121.394302,39.101021,BEALE AFB WWTP,HUTCHINSON CREEK
-117.939003,33.692034,"ORANGE COUNTY SD, RP #1 & TP #2","Pacific Ocean, Santa Ana River"
-92.433694,36.596806,GAINESVILLE WWTF,Lick Cr.
-86.641833,39.630306,STILESVILLE WWTP,MILL CR TO EEL R TO W FK WHITE R
-77.965507,34.968266,KENANSVILLE WWTP,
-77.030477,35.85766,WILLIAMSTON WWTP,
-76.485002,36.200278,HERTFORD WWTP,
-74.240833,42.216389,HUNTER (V) WWTF,SCHOHARIE CK
-93.65565,42.09779,"GILBERT, CITY OF STP",
-95.625861,36.709556,"NOWATA, CITY OF",121510010010 W Branch Ck/Oologah Reservoir
-80.3231,39.258825,NUTTER FORT CITY OF,Elk Creek
-92.688139,37.976472,CAMDENTON BUSINESS PARK,Dry Auglaize Cr.
-90.209667,33.4065,SIDON POTW,OLD YAZOO RIVER
-122.70175,45.63324,VANCOUVER WEST STP,
-95.688861,40.491,UPPER NISHNABOTNA MITIGATION SITE,Nishnabotna R.
-85.766667,40.566667,PRESIDENT OF THE TOWN BOARD,PIPE CR VIA SWEETSER DITCH
-85.95613,36.247223,GORDONSVILLE STP,CUMBERLAND RIVER AT MILE 308.3
-66.382671,18.2369,PRASA ALTURAS DE OROCOVIS WWTP,OROCOVIS RIVER
-90.2861,32.3621,CLINTON BRIARS POTW,CREEK TO BOGUE CHITTO CREEK
-96.935377,43.611005,"HARTFORD, CITY OF",Unnamed Tributary of Skunk Creek
-97.13072,46.264221,WYNDMERE CITY OF,Western Wild Rice
-77.217444,42.976417,MANCHESTER-SHORTVILLE JNT STP,CANANDAIGUA OUTLET
-98.896444,32.7715,CITY OF BRECKENRIDGE_WWTF,GONZALES CRK;HUBBARD CRK;CLEAR FRK
-94.9022,43.12078,RUTHVEN CITY OF STP,
-76.633011,40.98703,VALLEY TWP MUNI AUTH,MAUSES CREEK IN WTRSHD 5-E
-119.86924,39.64563,STEAD WRF,LEMON LAKE
-95.177972,30.169083,ROMAN FOREST MUD WWTF,SAN JACINTO RIVER BASIN
-84.62057,41.47586,DURHAM ESTATES SD,Trib to Lick Creek
-91.795444,40.697139,BONAPARTE CITY OF STP,
-83.048701,32.43378,TOWN OF DEXTER WPCP,STITCHIHATCHIE CR TO ROCKY CRK TRIB-OCONEE RB
-87.783278,42.700111,RACINE WASTEWATER UTILITY,L MICHIGAN
-88.032246,42.68938,UNION GROVE VILLAGE WWTF,ROOT R W BR
-82.751406,32.125283,"ALAMO,  CITY OF",ALLIGATOR CRK-OCUMULGEE RB
-75.720833,43.354167,CAMDEN (V) WWTP,FISH CK W BR
-78.933611,37.051111,BROOKNEAL TOWN - FALLING RIVER,FALLING RIVER
-71.052576,42.367206,US COAST GUARD ISC BOSTON,
-117.152474,47.002431,GARFIELD STP,
-88.25004,35.070918,TVA PICKWICK HYDRO PLANT,TENNESSEE RV
-79.188925,40.678399,INDIANA CO MUNI SERV AUTH,CROOKED CREEK
-110.916556,46.541472,WHITE SULPHUR SPRINGS WWTF,SOUTH FORK SMITH RIVER
-74.274315,40.941765,LAUREL HOMES STP,POMPTON RIVER
-82.140478,38.836469,HENDERSON TOWN OF,KANAWHA
-119.09699,44.7554,LONG CREEK  STP,LONG CREEK
-75.475752,39.712808,CARNEYS POINT STP,DELAWARE RIVER ZONE 5
-74.180197,39.907944,OCEAN COUNTY UTILITIES AUTHORI,
-147.382528,64.743889,"NORTH POLE, CITY OF",TANANA RIVER
-89.487361,43.88975,WESTFIELD WWTF,WESTFIELD CR
-90.396278,46.39775,WHITECAP MOUNTAINS SANITARY DISTRICT,ALDER CR VIA OVE
-106.0825,32.845556,HOLLOMAN AFB WASTEWATER TR.PLT,
-78.86334,36.029866,NORTH DURHAM WATER RECLAMATION FACILITY,
-97.906389,28.894167,MILAM STREET WWTP (PLANT NO.2),UNNAMED TRIB OF SAN ANTONIO RIVER
-96.393222,29.447694,GARWOOD FACILITIES WWTF,DRAINAGE DITCH; UNNAMED TRIBUTARY
-90.286861,33.825556,GLENDORA POTW,BLACK BAYOU THENCE TALLAHATCHIE
-81.54865,40.68684,MAYFIELD PARK MHP,UT Tusc River
-89.913,43.7014,LYNDON STATION WWTF,
-122.51565,48.717997,BELLINGHAM STP,
-85.816667,40.8,UNION MILLS WWTP,WABASH R VIA TREATY CREEK
-73.918222,42.840167,SCHENECTADY (C) STP,MOHAWK R
-87.61518,45.41412,STEPHENSON WWTP,LITTLE CEDAR RIVER
-89.33913,31.3558,HATTIESBURG  NORTH LAGOON,DIRECTLY INTO BOWIE RIVER
-90.390278,43.331083,RICHLAND CENTER CITY WWTF,PINE R
-95.271879,29.954111,CITY OF HUMBLE,REINHARDT BAYOU;GARNERS BAYOU
-92.133592,37.753453,FLW - TRAINEE BARRACKS COMPLEX VI,Roubidoux Cr.
-85.23375,41.358083,"AVILLA WWTP, TOWN OF",CEDAR CR (LITTLE) VIA UNNAMED DITCH FROM KING LAKE
-77.30693,39.691764,TOWN OF EMMITSBURG,MIDDLE POTOMAC RIVER
-70.79827,42.239353,COHASSET W W T P,COHASSET HARBOR
-81.625,31.858306,NATIONAL GUARD TRAINING CENTER,MEDWAY RV-OGEECHEE RB
-92.421699,37.098078,NORWOOD WWTF,Bryant Cr.
-73.724,42.69,ALBANY CO SD - NORTH WWTP,HUDSON R
-88.712472,44.104139,WINNECONNE WASTEWATER TREATMEN,WOLF R
-103.63413,41.25469,KIMBALL WASTEWATER TREATMENT FACILITY,LODGPOL CRK
-91.09924,44.0178,MINDORO SAN DIST 1 WWTF,FLEMING CR
-89.638333,40.498333,SOUTH PEKIN STP,LOST CREEK TO ILLINOIS RIVER
-86.4365,41.535444,NORTH LIBERTY WWTP,KANKAKEE R VIA PINE CR VIA POTATO C
-114.036417,46.881917,CITY OF MISSOULA WWTP,CLARK FORK RIVER
-87.2577,30.9651,TOWN OF CENTURY,"Escambia R, Class III Fresh, WBID 10C"
-75.364167,43.625,LYONS FALLS (V) WWTF,BLACK R
-104.6778,40.3827,EVANS CITY OF WWTF,SOUTH PLATTE RIVER
-96.483472,42.069111,ROSALIE WASTEWATER TREATMENT,
-111.164444,47.511389,MALMSTROM AFB HYDRANT DISCHARGE,WHITMORE RAVINE TO MISSOURI RIVER
-92.284222,38.911389,"USDOI, COLUMBIA ENV. RESEARCH CENTER",L. Bonne Femme Cr.
-89.287944,42.6325,ORFORDVILLE WASTEWATER TREATME,SWAN CR
-88.366472,43.696778,EDEN WASTEWATER TREATMENT FACI,DE NEVEU CR
-77.416667,39.416667,LEWISTOWN MILLS WWTP # 2,FISHING CREEK
-73.4273,41.2585,"REDDING, TOWN OF",NORWALK RIVER
-104.866195,39.566755,COTTONWOOD WTR & SAN DIST WWT,GROUNDWTR TRIB TO CHERRY CRK RESERV
-84.847222,39.0075,WESTERN REG WATER RECLAM FAC,OHIO RIVER
-103.59792,41.83347,SCOTTSBLUFF WASTEWATER TREATMENT FACILITY,NORTH PLATTE R
-84.373333,46.011111,CLARK TOWNSHIP WWSL,PEARSON CREEK
-88.991667,46.490278,INTERIOR TWP WWSL,ONTONAGON RIVER VIA TROUT CREEK
-123.078431,47.20567,SHELTON STP,
-90.37582,42.56884,BENTON WASTEWATER TREATMENT FA,GALENA R
-91.54313,41.48456,RIVERSIDE CITY OF STP,
-90.6445,33.421389,INDIANOLA POTW,BIG SUNFLOWER
-111.20083,47.51194,WESTERN GROUP HOUSING - MALMSTROM AFB COMMUNITY CENTER,MALMSTROM MS4 SYSTEM
-86.192,34.2699,ALBERTVILLE EAST SIDE WWTP,TURKEY CREEK
-80.861476,27.343109,USACE - KISSIMMEE RIVER ASR PI,KISSIMMEE R
-83.828,40.572333,REED ROAD WWTP,Scioto River
-110.191,42.265,LABARGE WASTEWATER LAGOON,
-121.551139,39.067139,OLIVEHURST PUD WWTF,BEAR RIVER
-86.506806,40.298806,"FRANKFORT WWTP, CITY OF",WILDCAT CR S FK VIA PRAIRIE CREEK
-90.823167,45.154722,GILMAN WASTEWATER TREATMENT FA,YELLOW R VIA WET
-86.35,41.833333,BUCHANAN WWTP,ST. JOSEPH RIVER
-86.265083,41.839361,NILES WWTP,ST. JOSEPH RIVER
-83.207985,42.05941,S HURON VALLEY UA WWTP,DETROIT RIVER
-113.116667,45.425,WESTERN FED. LANDS HWY DIV. GRASSHOPPER CREEK 318 PERMIT,GRASSHOPPER CREEK
-122.72702,46.57032,LEWIS COUNTY WATER DIST NO 2,
-76.859837,39.05568,FDA - CENTER FOR VETERINARY MEDICINE,ANACOSTIA RIVER
-90.411667,38.279389,PEVELY WWTP,Sandy Cr.
-102.8595,46.53608,NEW ENGLAND CITY OF,Upper Cannonball
-103.00923,48.89098,NOONAN CITY OF,Upper Souris
-90.538056,41.510556,MOLINE STP - NORTH SLOPE PLANT,MISSISSIPPI RIVER/SYLVAN SLOUGH
-66.085166,18.429114,PRASA PUERTO NUEVO WWTP,BAHIA SAN JUAN
-96.051111,35.864833,MOUNDS PWA,120410030060_00 Middle Duck Creek
-88.82725,36.22344,SHARON LAGOON,MIDDLE FORK OBION RIVER
-88.096426,36.235335,BIG SANDY STP,BIG SANDY RIVER @MI 15.0
-83.698447,40.377763,A AND E CAMPGROUND LLC,Unnamed Tributary of the Mad River
-87.188222,41.315361,HEBRON WASTEWATER TREATMENT PLANT,COBB CREEK/BREYFOGEL DT/KANKAKEE R
-92.132639,37.749507,"FLW - BCT III, PHASE II",Roubidoux Cr.
-99.90113,40.29396,ARAPAHOE WASTEWATER TREATMENT FACILITY,REPUBLICAN RIVER
-102.577221,43.059818,EVERGREEN LAGOON,
-85.450931,36.54013,USA COE D HOL-OBEY R REC A-CE,DALE HOLLOW LAKE
-93.370836,37.14928,SPRINGFIELD SW WWTP,Wilsons Cr.
-90.05,46.483333,BESSEMER AREA SA WWTP,BLACK RIVER AND KALLANDER CREEK
-79.688376,40.297848,HEMPFIELD TWP MUN AUTH - ROLLING HILLS STP,ANDREWS RUN
-99.761556,45.078222,"LEBANON, TOWN OF",Unnamed Tributary to Simon Lake
-107,37.25,PAGOSA SPRINGS SAN DISTRICT WWTF,SAN JUAN RIVER
-118.174014,46.273291,WAITSBURG STP,
-87.9345,42.736056,YORKVILLE SEWER UTITLITY DIST,ROOT R VIA HOODS
-75.382399,40.245937,INDIAN HILLS STP,W BRANCH SKIPPACK CREEK IN WS 3-E
-92.8895,44.5164,CANNON FALLS_WWTF,CANNON R
-93.817139,35.682582,USDA/US FOREST SERVICE-CASS CIVILIAN CONSERVATION CENTER,"MULBERRY R,ARKANSAS R"
-66.420171,18.336062,PRASA MOROVIS WWTP,RIO MOROVIS
-92.119028,37.764944,FLW-CHILD DEVELOPMENT CENTER,Big Piney R.
-82.709167,39.8965,SYCAMORE CREEK WRF,Sycamore Creek
-89.426667,40.421667,"HOPEDALE STP, VILLAGE OF",INDIAN CREEK
-96.906472,44.888361,KRANZBURG - TOWN OF,UNNAMED TRIBUTARY - STRAY HORSE CRK
-80.5363,27.8887,"BAREFOOT BAY, CITY OF - BCUD/ BAREFOOT BAY WWTF","N Prong Sebastian R, Class III Fresh, WBID 3128A"
-114.8585,42.761163,HAGERMAN NATIONAL FISH HATCHERY,"RILEY CREEK, SNAKE RIVER"
-76.177442,40.707034,ST CLAIR WWTP,MILL CREEK IN WTRSHD 3-A
-134.648611,58.385,"JUNEAU, CITY & BOROUGH OF",AUKE BAY
-92.074387,37.7175,"USA, MANEUVER SUPPORT CNT",ROUBIDOUX CR/B PINEY
-106.99635,44.681615,"SHERIDAN COUNTY SCHOOL DISTRICT #1, BIGHORN SCHOOL WASTEWATER SYSTEM DRAINAGE",
-87.926667,42.164167,LCDPW-DES PLAINES RIVER STP,APTAKISTIC CRK TRIB-DESPLAINES RVR
-76.953308,40.259256,HAMPDEN TWP. SAN. AUTH.,CONODOQUINET CREEK
-108.592507,47.599526,CMR NAT WILDLIFE REFUGE PESTICIDE,5 COUNTIES
-156.991139,20.787611,US ARMY CORPS OF ENGINEERS,Kaumalapau Harbor
-86.998889,45.853333,CITY OF GLADSTONE WWTP,LAKE MICHIGAN
-109.936067,40.463623,WHITEROCKS,
-84.20437,40.62439,COUNTRY CLUB HILLS PROPERTY OWNERS ASSOC WWTP,Sheipline Ditch #51
-85.069222,41.30925,DEKALB COUNTY AIRPORT WWTP,CEDAR CR VIA DOSCH D VIA UND TRIB
-84.4428,41.7381,WALDRON WWSL,E BRANCH ST JOE RIVER VIA CADY DRN
-76.016667,37.263889,CAPE CHARLES TOWN - WASTEWATER,CHESAPEAKE BAY
-82.799722,36.855278,BIG STONE GAP REGIONAL WWTP,POWELL RIVER
-108.515944,37.469889,DOLORES WWTF,Dolores River
-85.344134,36.359229,LIVINGSTON STP,TOWN CREEK
-91.116667,43.75,BARRON ISLAND WASTEWATER TRTMN,MISSISSIPPI R
-81.081698,35.269539,LOWELL WWTP,
-82.2797,40.8764,ASHLAND WWTP,LANG CREEK
-81.56769,38.26815,BURNING SPRINGS SEWER ASSOC,KANAWHA RIVER
-67.523889,44.725,WHITNEYVILLE WWTF,Machias River
-96.646639,33.017611,NORTH TEXAS MWD,SEG 0821 LAKE LAVON
-82.75188,28.11114,WILLIAM E DUNN WRF,KLOSTERMAN BAYOU RUN
-83.913361,40.709861,VILLAGE OF HARROD,MANAHAM DITCH
-75.355453,40.257326,HARLEYSVILLE STP,UNT TO INDIAN CREEK IN WTRSHD 3-E
-77.86258,40.186,SHADE GAP AREA JOINT MUN AUTH,SHADE CREEK
-96.17125,38.383389,EMPORIA WASTEWATER PLANT,COTTONWOOD RIVER
-96.0274,43.18072,BOYDEN CITY OF STP,
-95.492399,30.244094,MONTGOMERY COUNTY MUD 112 WWTP,"DRAINAGE CHANNEL, W FORK SAN JACINT"
-132.35,56.345556,PATS CREEK,ZIMOVIA STRAIT 15
-92.14259,44.4382,PEPIN WASTEWATER TREATMENT FAC,MISSISSIPPI R VI
-87.847596,44.094795,CLARKS MILLS SANITARY DISTRICT,MANITOWOC RIVER
-94.4125,43.0571,WHITTEMORE CITY OF STP,
-96.32422,42.97715,IRETON CITY OF STP,
-111.84898,40.76812,UINTA-WASATCH CACHE NATIONAL FOREST,Water Bodies of the State
-76.708581,39.20594,UNKNOWN,PATAPSCO RIVER
-95.92918,41.208332,OMAHA MISSOURI RIVER WWTF,MISSOURI RIVER
-77.6097,36.437095,ROANOKE RIVER WWTP,
-101.404444,35.668333,ROCK CREEK WWTP,ROCK CREEK TO CANADIAN RIVER
-99.108917,34.989833,HOBART PUBLIC WORKS AUTHORITY,311500 trib/Elk Ck/Elf Ck/North Fork of the Red R
-81.85619,38.40494,MARLAING PSD,KANAWHA RIVER
-85.153889,40.344944,REDKEY WWTP,MISSISSINEWA R VIA HALFWAY CR-REDKE
-84.7588,39.82719,ODOT PARKS 8-39 AND 8-40 WWTP,Unnamed tributary of Elkhorn Creek
-116.016111,44.477778,"CASCADE, CITY OF (WWTP)",NORTH FORK PAYETTE RIVER (RM 38)
-83.183333,43.233333,NORTH BRANCH WWSL NO 2,NORTH BRANCH DRAIN
-97.980141,43.555283,ETHAN - TOWN OF,Unnamed Tributary of Ethan Lake
-87.201944,41.596667,PORTAGE UTILITY SERVICE FACILITY WWTP,BURNS DITCH TO LAKE MICHIGAN
-69.946303,43.915427,BRUNSWICK S D WWTF,Androscoggin River
-70.255584,43.673684,EAST END WWTF,Casco Bay
-73.940167,41.2705,BUCHANAN (V) WWTP,HUDSON R
-70.643157,41.927406,PLYMOUTH W W T P,PLYMOUTH HARBOR
-80.272001,39.477891,CAROLINA IMPROVEMENT ASSOC,COONS RUN
-104.583611,40.516667,GALETON WATER & SAN DISTRICT,WILLOW CREEK
-78.785861,42.853361,CHEEKTOWAGA (T) SANITARY OVERFLOW,BUFFALO R
-86.375,39.538889,"BETHANY, TOWN OF",
-80.410278,25.618611,FEDERAL CORRECTIONAL INSTITUTI,
-90.189444,46.466111,GOGEBIC-IRON WW AUTHORITY WWTP,MONTREAL RIVER
-81.733611,37.338611,BARTLEY POST OFFICE,DRY FORK/TUG FOR
-98.549833,28.913472,CITY OF JOURDANTON WWTP,"UNNAMED TRIB OF GOOSE CREEK, GOOSE"
-88.619028,44.7675,WOLF TREATMENT PLANT,WOLF R
-97.647861,29.657667,"CITY OF LULING, SOUTH WWTP",LOWER SAN MARCOS RIVER
-76.788582,40.3187,U S POSTAL SERVICE,UNT TO PAXTON CREEK
-91.269306,43.942056,HOLMEN WASTEWATER TREATMENT FA,HALFWAY CR
-83.183149,38.731752,OHIO DEPT OF NATURAL RESOUR,OHIO RIVER
-92.384109,43.692359,SPRING VALLEY,SPRING VALLEY CR
-88.146088,42.990685,NEW BERLIN PUBLIC SCHOOLS,POPLAR CR
-89.96,40.771667,"ELMWOOD STP, CITY OF",WEST BRANCH OF KICKAPOO CREEK-IL RV
-133.114444,55.388889,CITY OF KLAWOCK WWTP,KLAWAK INLET PACIFIC OCEAN
-82.838167,36.111,DENZIL BOWMAN WASTEWATER TREAT,Nolichucky River Mi. 47.5
-100.760083,43.566,SWIFT BEAR COMMUNITY,
-100.5112,41.48795,STAPLETON WASTEWATER TREATMENT FACILITY,SOUTH LOUP RIVER
-90.619167,41.503778,"DAVENPORT, CITY OF-WEST LOCUST LAGOON",
-84.713546,33.712609,3600 CHAPEL HILL ROAD,ANNEEWAKEE CRK TRIB\CHATTAHOOCHEE RB
