longitude,latitude,name,population
-72.93551293,41.67634286,BRISTOL HOSPITAL,134
-72.79058452,41.73076488,JOHN DEMPSEY HOSPITAL,137
-73.40955764,41.58171301,NEW MILFORD HOSPITAL,85
-86.50188213,39.76191216,HENDRICKS REGIONAL HEALTH,160
-86.34044663,39.78050439,INDIANA UNIVERSITY HEALTH WEST HOSPITAL,127
-86.47191119,30.39412199,REHABILITATION INSTITUTE OF NORTHWEST FLORIDA,237
-86.49547732,30.5335891,TWIN CITIES HOSPITAL,65
-85.54286154,30.76549207,NORTHWEST FLORIDA COMMUNITY HOSPITAL,59
-82.63275612,30.19313357,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,99
-87.15126922,30.94984954,JAY HOSPITAL,49
-83.41149706,30.47051409,MADISON COUNTY MEMORIAL HOSPITAL,25
-81.58236884,30.25337778,ST VINCENT'S MEDICAL CENTER SOUTHSIDE,309
-84.54866986,30.56888324,CAPITAL REGIONAL MEDICAL CENTER - GADSDEN MEMORIAL CAMPUS,266
-85.64778936,30.1597128,SELECT SPECIALTY HOSPITAL - PANAMA CITY,30
-103.4800894,43.41720813,FALL RIVER HOSPITAL,25
-98.01064062,40.87123434,MEMORIAL HOSPITAL,14
-99.3649283,40.10499219,HARLAN COUNTY HEALTH SYSTEM,19
-78.42783855,42.08993262,OLEAN GENERAL HOSPITAL,186
-76.44814893,41.78405234,GUTHRIE TOWANDA MEMORIAL HOSPITAL,77
-75.1461011,40.30590179,DOYLESTOWN HOSPITAL,238
-97.5921534,40.8825718,YORK GENERAL HOSPITAL,25
-78.388433,40.338928,NASON HOSPITAL,45
-76.983191,39.808793,HANOVER HOSPITAL,106
-100.5381664,42.87939012,CHERRY COUNTY HOSPITAL,25
-79.562016,40.808844,ACMH HOSPITAL,155
-79.91919944,40.44268659,"CHILDREN'S INSTITUTE OF PITTSBURGH, THE",72
-80.013993,40.573393,UPMC PASSAVANT,412
-79.73675135,40.61828482,ALLEGHENY VALLEY HOSPITAL,228
-79.67973,41.63362,TITUSVILLE AREA HOSPITAL,72
-76.452273,41.009512,GEISINGER-BLOOMSBURG HOSPITAL,72
-97.83784807,42.04735132,TILDEN COMMUNITY HOSPITAL,12
-75.13462803,39.98169934,KENSINGTON HOSPITAL,45
-118.7662052,39.47655813,BANNER CHURCHILL COMMUNITY HOSPITAL,40
-75.15124258,40.00687889,SHRINERS HOSPITALS FOR CHILDREN-PHILADELPHIA,53
-119.7190175,38.91948387,CARSON VALLEY MEDICAL CENTER,23
-117.7271873,40.97132504,HUMBOLDT GENERAL HOSPITAL,52
-97.28165027,40.65345624,WARREN MEMORIAL HOSPITAL,19
-116.0250897,36.21451047,DESERT VIEW REGIONAL MEDICAL CENTER,25
-118.482111,40.17598617,PERSHING GENERAL HOSPITAL,38
-75.872756,41.832527,MONTROSE GENERAL HOSPITAL,21
-90.48652731,38.63734304,MERCY CONTINUING CARE HOSPITAL,54
-76.39712392,40.31731186,LEBANON VETERANS AFFAIRS MEDICAL CENTER,213
-75.32142881,40.01894448,MAIN LINE BRYN MAWR HOSPITAL,319
-79.156262,40.607521,INDIANA REGIONAL MEDICAL CENTER,164
-76.775342,41.209758,MUNCY VALLEY HOSPITAL,18
-77.646136,39.933978,CHAMBERSBURG HOSPITAL,240
-76.880659,40.257679,PINNACLEHEALTH HARRISBURG CAMPUS,577
-77.22422121,40.18332919,CARLISLE REGIONAL MEDICAL CENTER,165
-75.430541,39.912348,RIDDLE HOSPITAL,204
-71.0772,42.2513,BETH ISRAEL DEACONESS HOSPITAL MILTON,88
-80.09804762,40.68290644,UPMC PASSAVANT-CRANBERRY-ER,-999
-85.44403691,39.62175459,RUSH MEMORIAL HOSPITAL,25
-70.9464,42.5372,LAHEY MEDICAL CENTER - PEABODY,10
-70.9382,42.5289,KINDRED HOSPITAL BOSTON - NORTH SHORE,50
-69.53066139,44.02612933,LINCOLNHEALTH - MILES CAMPUS,32
-80.46952182,41.21068474,UPMC HORIZON-SHENANGO VALLEY-ER,-999
-86.51128071,40.26955065,ST VINCENT FRANKFORT HOSPITAL INC,25
-111.7107486,32.88115523,BANNER CASA GRANDE MEDICAL CENTER,177
-112.1021815,33.52481593,ABRAZO CENTRAL CAMPUS,221
-87.39918421,39.65290251,UNION HOSPITAL CLINTON,25
-83.55906957,30.795015,BROOKS COUNTY HOSPITAL,25
-87.2628112,38.04192863,ST MARY'S WARRICK HOSPITAL INC,35
-87.29670147,40.29043211,ST VINCENT WILLIAMSPORT HOSPITAL INC,16
-87.44882232,41.63478933,ST CATHERINE HOSPITAL INC,220
-87.32539938,41.44461985,VIBRA HOSPITAL OF NORTHWESTERN INDIANA,40
-84.60108658,41.13439981,PAULDING COUNTY HOSPITAL,25
-87.41261007,39.12557025,SULLIVAN COUNTY COMMUNITY HOSPITAL,25
-70.34408455,43.65342556,SPRING HARBOR HOSPITAL,100
-85.84221575,40.27636513,ST VINCENT MERCY HOSPITAL,25
-85.78618497,38.70498984,SCOTT COUNTY MEMORIAL HOSPITAL AKA SCOTT MEMORIAL,25
-86.15887275,41.67124835,MEDICAL BEHAVIORAL HOSPITAL - MISHAWAKA,30
-86.19569205,41.06396434,WOODLAWN HOSPITAL,25
-110.9649349,32.18123222,SOUTHERN ARIZONA VA HEALTH CARE SYSTEM,-999
-83.41157103,33.96643341,"LANDMARK HOSPITAL OF ATHENS, LLC",50
-96.71432208,43.53423762,AVERA MCKENNAN HOSPITAL,514
-83.75895685,32.60465684,"MEDICAL CENTER OF PEACH COUNTY, THE",25
-83.94595922,33.03125664,MONROE COUNTY HOSPITAL,25
-98.50024017,45.47315233,DAKOTA PLAINS SURGICAL CENTER,15
-83.97778738,33.30381367,WELLSTAR SYLVAN GROVE HOSPITAL,-999
-86.33186129,41.33350568,SAINT JOSEPH'S REGIONAL MEDICAL CENTER - PLYMOUTH,48
-84.85239527,33.91890738,WELLSTAR PAULDING HOSPITAL,216
-103.4801441,43.43118171,FALL RIVER HEALTH SERVICES,25
-70.65175416,43.14251792,YORK HOSPITAL,79
-72.0421,42.0786,HARRINGTON MEMORIAL HOSPITAL,114
-77.52602103,37.63171005,HENRICO DOCTORS' HOSPITAL - PARHAM,200
-72.6532,42.3302,COOLEY DICKINSON HOSPITAL,140
-81.44401173,39.44009096,SELBY GENERAL HOSPITAL,25
-83.2799569,40.84029938,WYANDOT MEMORIAL HOSPITAL,31
-70.7144,41.7561,SOUTHCOAST HOSPITALS GROUP - TOBEY HOSPITAL CAMPUS,74
-70.6451,41.9428,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,155
-93.50822249,44.08172898,MAYO CLINIC HEALTH SYS WASECA,35
-68.0083202,46.87957843,CARY MEDICAL CENTER,65
-93.21064793,44.95854425,SHRINERS HOSPITAL FOR CHILDREN,40
-96.75505857,43.53110184,SIOUX FALLS VETERANS AFFAIRS MEDICAL CENTER,-999
-95.54328863,44.80851273,MUNICIPAL HOSP & GRANITE MANOR,30
-95.84367917,46.81484228,ESSENTIA HLTH ST MARYS DETROIT,87
-96.77497025,48.19460728,NORTH VALLEY HEALTH CENTER,20
-78.89889314,34.0574707,MCLEOD LORIS,105
-92.97647665,44.92190887,HEALTHEAST WOODWINDS HOSPITAL,86
-93.91525319,44.45408513,MINNESOTA VALLEY HLTH CTR INC,15
-75.93693498,42.09138643,OUR LADY OF LOURDES MEMORIAL HOSPITAL,242
-70.55643433,44.55157753,RUMFORD HOSPITAL,25
-96.99613712,34.5049883,ARBUCKLE MEMORIAL HOSPITAL,25
-79.23212031,42.09127224,WCA HOSPITAL,245
-84.55600706,35.88860486,ROANE MEDICAL CENTER,54
-116.2644308,43.60334971,SOUTHWEST IDAHO ADVANCED CARE HOSPITAL,40
-76.24603947,36.74550925,CHESAPEAKE REGIONAL MEDICAL CENTER,310
-112.8486307,42.78144858,POWER COUNTY HOSPITAL DISTRICT,10
-78.44438962,38.02258118,MARTHA JEFFERSON HOSPITAL,176
-76.74159568,37.33745961,VERNON M. GEDDY JR. OUTPATIENT CENTER,-999
-77.10553472,38.82212364,INOVA ALEXANDRIA HOSPITAL,318
-116.5714522,43.55184662,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,152
-116.6942759,43.65432793,WEST VALLEY MEDICAL CENTER,150
-76.1873217,42.60883147,CORTLAND REGIONAL MEDICAL CENTER,162
-80.75728261,37.06817522,LEWISGALE HOSPITAL PULASKI,135
-76.28162015,36.89948466,BON SECOURS DEPAUL MEDICAL CENTER,180
-76.18962947,36.85084267,SENTARA LEIGH HOSPITAL,250
-78.19835145,38.9303431,VALLEY HEALTH WARREN MEMORIAL HOSPITAL,60
-111.7708867,43.82577979,MADISON MEMORIAL HOSPITAL,69
-98.41863129,35.84955797,MERCY HOSPITAL WATONGA,25
-80.01844527,37.27396039,SALEM VA MEDICAL CENTER,288
-76.44189922,36.86857265,BON SECOURS HEALTH CENTER AT HARBOUR VIEW,-999
-76.5945602,36.76054906,LAKEVIEW MEDICAL CENTER,-999
-79.40545975,36.57771385,DANVILLE REGIONAL MEDICAL CENTER,250
-77.53768307,36.70157604,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,80
-77.8090621,38.71276596,FAUQUIER HOSPITAL,97
-123.0396968,43.80372788,PEACEHEALTH COTTAGE GROVE COMMUNITY HOSPITAL,14
-82.62546425,36.94446004,WELLMONT MOUNTAIN VIEW REGIONAL MEDICAL CENTER,133
-82.44904832,37.16067851,DICKENSON COMMUNITY HOSPITAL AND GREEN OAK BEHAVIORAL HEALTH,25
-77.12727766,38.88888179,VIRGINIA HOSPITAL CENTER,334
-72.40314886,43.48749612,MOUNT ASCUTNEY HOSPITAL & HEALTH CENTER,35
-77.65863951,37.46669461,BON SECOURS ST. FRANCIS MEDICAL CENTER,130
-82.64076025,39.03230666,HOLZER MEDICAL CENTER JACKSON,24
-84.57816843,38.64720365,ST. ELIZABETH GRANT,25
-80.97730937,40.25742147,HARRISON COMMUNITY HOSPITAL,25
-83.42422891,41.16299548,FOSTORIA COMMUNITY HOSPITAL,25
-82.4131781,34.81724949,SHRINERS' HOSPITAL FOR CHILDREN-GREENVILLE,50
-82.2482302,34.72018561,GHS HILLCREST MEMORIAL HOSPITAL,43
-79.28455341,33.37964269,TIDELANDS GEORGETOWN MEMORIAL HOSPITAL,131
-79.0427253,33.56046875,TIDELANDS WACCAMAW COMMUNITY HOSPITAL,167
-81.05396235,32.3150338,COASTAL CAROLINA HOSPITAL,41
-119.4387312,48.70700189,NORTH VALLEY HOSPITAL,22
-80.59034229,34.25285564,KERSHAWHEALTH,121
-80.78772137,34.71768707,SPRINGS MEMORIAL HOSPITAL,211
-81.88044733,34.9101138,CHILDREN'S REHABILITATION CENTER,11
-80.145882,41.641648,MEADVILLE MEDICAL CENTER,217
-79.69711175,34.63628184,MARLBORO PARK HOSPITAL,94
-80.21153903,33.68671298,MCLEOD HEALTH CLARENDON,81
-81.18315328,34.68448242,CHESTER REGIONAL MEDICAL CENTER,82
-81.94082197,34.4814708,GHS LAURENS COUNTY HOSPITAL,76
-80.66991082,32.922821,COLLETON MEDICAL CENTER,131
-82.62888111,34.54557143,ANMED HEALTH NORTH WOMEN'S AND CHILDREN'S HOSPITAL,72
-81.70726289,41.48763338,LUTHERAN HOSPITAL,203
-80.29073136,33.08533946,LIEBER CORRECTIONAL INSTITUTION INFIRMARY,10
-81.10788392,33.95186866,SOUTH CAROLINA VOCATIONAL REHABILITATION EVALUATION CENTER,30
-80.98695717,34.08929901,MORRIS VILLAGE,174
-81.11140111,34.07261656,WILLOW LANE INFIRMARY,8
-81.03316804,34.00678687,PALMETTO HEALTH BAPTIST HOSPITAL,391
-82.60685299,34.840659,BAPTIST EASLEY HOSPITAL,109
-80.71505734,32.22404532,HILTON HEAD HOSPITAL,93
-119.7826329,48.10622607,THREE RIVERS HOSPITAL,44
-122.9855806,46.71240448,PROVIDENCE CENTRALIA HOSPITAL,100
-118.1453598,47.65792772,LINCOLN HOSPITAL,60
-122.6135502,47.36302274,ST. ANTHONY HOSPITAL,80
-117.0491978,48.1824222,NEWPORT HOSPITAL & HEALTH SERVICES,74
-78.87130607,38.43989519,ROCKINGHAM MEMORIAL HOSPITAL,270
-122.9244332,46.13711603,PEACEHEALTH ST JOHN MEDICAL CENTER - BROADWAY CAMPUS,-999
-123.8205586,46.9812624,GRAYS HARBOR COMMUNITY HOSPITAL - EAST,-999
-123.2602846,47.05579212,MARK REED HEALTH CARE CLINIC,24
-77.13652168,38.70024448,DEWITT ARMY COMMUNITY HOSPITAL,46
-120.3230866,47.43352928,WENATCHEE VALLEY HOSPITAL,40
-122.3795497,47.66737354,SWEDISH MEDICAL CENTER - BALLARD CAMPUS,183
-122.3080257,47.56323103,VA PUGET SOUND HEALTH CARE SYSTEM SEATTLE,504
-122.3105979,47.60772122,SWEDISH MEDICAL CENTER - CHERRY HILL CAMPUS,214
-82.37319145,36.35181545,NORTH SIDE HOSPITAL,139
-122.0654438,47.55145323,SWEDISH MEDICAL CENTER - ISSAQUAH CAMPUS,-999
-122.135403,47.63429471,GROUP HEALTH EASTSIDE HOSPITAL,-999
-122.337913,47.59024221,U.S. COAST GUARD BASE SEATTLE MEDICAL CLINIC,-999
-122.6915605,47.59499772,BREMERTON NAVAL HOSPITAL,40
-122.7053359,47.69416655,NAVAL BRANCH HEALTH CLINIC BANGOR,-999
-118.3718866,47.12121882,EAST ADAMS RURAL HOSPITAL,8
-122.7407793,45.37843238,LEGACY MERIDIAN PARK MEDICAL CENTER,130
-122.5871077,45.35623379,PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,89
-122.7717601,45.51067387,PROVIDENCE ST VINCENT MEDICAL CENTER,528
-122.9781856,45.51948918,TUALITY COMMUNITY HOSPITAL,215
-122.6974913,45.53025901,LEGACY GOOD SAMARITAN MEDICAL CENTER,248
-122.6135062,45.52753355,PROVIDENCE PORTLAND MEDICAL CENTER,400
-122.6844091,45.50078993,SHRINERS HOSPITAL FOR CHILDREN-PORTLAND,-999
-118.8218042,45.67137216,BLUE MOUNTAIN RECOVERY CENTER,59
-116.3532995,46.05038016,ST. MARY'S HOSPITAL AND CLINICS,25
-122.7900731,45.00466592,SILVERTON HOSPITAL,48
-116.9624413,44.24872401,WEISER MEMORIAL HOSPITAL,25
-122.9069641,44.55132696,SAMARITAN LEBANON COMMUNITY HOSPITAL,25
-78.84845864,42.92843689,SISTERS OF CHARITY HOSPITAL,290
-78.6585669,42.50896399,BERTRAND CHAFFEE HOSPITAL,24
-78.78240154,42.91430436,SISTERS OF CHARITY HOSPITAL - ST JOSEPH CAMPUS,123
-73.59552465,44.215377,ELIZABETHTOWN COMMUNITY HOSPITAL,25
-74.33192173,43.07158611,NATHAN LITTAUER HOSPITAL,74
-74.29129248,44.85673515,ALICE HYDE MEDICAL CENTER,76
-78.18111288,42.99865008,UNITED MEMORIAL MEDICAL CENTER BANK STREET CAMPUS,20
-75.9145579,43.96504348,SAMARITAN MEDICAL CENTER,294
-75.49911806,43.79579021,LEWIS COUNTY GENERAL HOSPITAL,31
-77.58681449,43.19224113,ROCHESTER GENERAL HOSPITAL,528
-73.50866605,40.81087429,SYOSSET HOSPITAL,103
-73.47853471,40.77495423,PLAINVIEW HOSPITAL,219
-78.67114428,43.17737108,EASTERN NIAGARA HOSPITAL,140
-79.04971013,43.09392082,NIAGARA FALLS MEMORIAL MEDICAL CENTER,171
-78.86234244,43.02541801,DEGRAFF MEMORIAL HOSPITAL,66
-79.03243072,43.15418402,MOUNT ST. MARY'S HOSPITAL,175
-75.27589377,43.09673342,FAXTON-ST. LUKE'S HEALTHCARE - ST. LUKE'S CAMPUS,370
-76.13839401,43.04129917,CROUSE HOSPITAL,466
-77.13651575,42.95970084,CLIFTON SPRINGS HOSPITAL,154
-76.51637765,43.45401657,OSWEGO HOSPITAL,126
-75.05215347,42.45779332,AURELIA OSBORN FOX MEMORIAL HOSPITAL,60
-121.8857629,47.51272014,SNOQUALMIE VALLEY HOSPITAL,25
-74.13481142,41.11159578,GOOD SAMARITAN HOSPITAL - SUFFERN,286
-85.91478063,37.78792368,LINCOLN TRAIL BEHAVIORAL HEALTH SYSTEM,140
-74.90874009,44.93623403,MASSENA MEMORIAL HOSPITAL,50
-73.91579101,42.80485019,ELLIS HEALTH CENTER,-999
-87.8666538,42.35842711,VISTA MEDICAL CENTER WEST,67
-88.83458224,41.11359098,ST MARYS HOSPITAL,98
-88.82441327,41.35770165,OSF SAINT ELIZABETH MEDICAL CENTER,90
-89.12433375,41.32886857,ILLINOIS VALLEY COMMUNITY HOSPITAL,56
-76.58728282,39.35839578,MEDSTAR GOOD SAMARITAN HOSPITAL,287
-76.6721191,39.27276991,SAINT AGNES HOSPITAL,344
-76.61473935,39.3290403,MEDSTAR UNION MEMORIAL HOSPITAL,238
-70.93555834,42.98266309,EXETER HOSPITAL,100
-71.56283486,43.19977474,HEALTHSOUTH REHABILITATION HOSPITAL,50
-73.06096322,40.94663123,ST CHARLES HOSPITAL AND REHABILITATION CENTER,243
-83.75154531,38.42215105,FLEMING COUNTY HOSPITAL,52
-84.51185771,38.01880519,BAPTIST HEALTH LEXINGTON,344
-76.53748416,42.46898507,CAYUGA MEDICAL CENTER,212
-75.04741551,41.74029193,GROVER M. HERMAN HOSPITAL,15
-73.64631274,43.30662939,GLENS FALLS HOSPITAL,410
-84.49795434,38.08292406,EASTERN STATE HOSPITAL,195
-73.72570075,41.19705408,NORTHERN WESTCHESTER HOSPITAL,245
-75.5957198,38.38229856,DEER'S HEAD CENTER,81
-73.99845263,40.63947888,MAIMONIDES MEDICAL CENTER,679
-84.27768645,38.38396873,HARRISON MEMORIAL HOSPITAL,61
-73.94453023,40.78492694,METROPOLITAN HOSPITAL CENTER,338
-73.95321427,40.78976753,MOUNT SINAI HOSPITAL,1144
-73.80455619,40.71707221,QUEENS HOSPITAL CENTER,247
-89.22059253,37.72744555,MEMORIAL HOSPITAL OF CARBONDALE,159
-87.73251748,40.76560189,IROQUOIS MEMORIAL HOSPITAL,84
-87.82153878,36.86634023,TRIGG COUNTY HOSPITAL INC.,25
-86.44648889,36.95703881,SOUTHERN KENTUCKY REHABILITATION HOSPITAL,60
-73.85150671,40.72899467,FOREST HILLS HOSPITAL,222
-73.94237898,40.69952267,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,388
-78.73023829,42.99403948,MILLARD FILLMORE SUBURBAN HOSPITAL,265
-73.748675,42.67418337,ALBANY MEMORIAL HOSPITAL,165
-73.93354531,40.65944045,KINGSBROOK JEWISH MEDICAL CENTER,303
-74.00074457,40.73773991,LENOX HILL HEALTHPLEX,-999
-73.70810636,40.75434328,LONG ISLAND JEWISH MEDICAL CENTER,1025
-73.840562,40.91289836,MONTEFIORE MOUNT VERNON HOSPITAL,176
-83.37858385,37.16410598,MARY BRECKINRIDGE ARH HOSPITAL,25
-73.92488434,40.76829506,MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,228
-75.65449007,43.07770601,ONEIDA HEALTHCARE,101
-73.05439851,40.9390674,JOHN T MATHER MEMORIAL HOSPITAL OF PORT JEFFERSON NEW YORK INC,248
-91.11326502,40.40799681,MEMORIAL HOSPITAL ASSOCIATION,18
-89.27158643,40.72138986,ADVOCATE EUREKA  HOSPITAL,18
-77.70515091,43.19291838,THE UNITY HOSPITAL OF ROCHESTER,311
-89.02631327,37.8010121,HERRIN HOSPITAL,114
-76.63827028,38.30213763,MEDSTAR SAINT MARY'S HOSPITAL,95
-73.84589022,40.84988921,MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,421
-75.39546902,42.3041547,TRI TOWN REGIONAL HEALTHCARE,4
-88.954816,37.72431427,MARION IL VA MEDICAL CENTER,225
-89.69665558,41.80220562,CGH MEDICAL CENTER,99
-76.8652504,38.98269454,DOCTORS' COMMUNITY HOSPITAL,190
-78.17663186,43.00506087,UNITED MEMORIAL MEDICAL CENTER NORTH STREET CAMPUS,111
-73.94422785,40.65484188,UNIVERSITY HOSPITAL OF BROOKLYN,342
-73.97392933,40.7420469,NYU HOSPITALS CENTER,844
-73.88614692,40.96891353,SJRH - ST JOHNS DIVISION,225
-73.89769468,40.92925602,ST JOSEPH'S MEDICAL CENTER,194
-74.09182025,40.60306403,STATEN ISLAND UNIV HOSP-CONCORD DIV,-999
-73.98177078,40.73310481,MOUNT SINAI BETH ISRAEL,825
-79.12583875,42.55848862,TLC HEALTH NETWORK LAKE SHORE HOSPITAL,45
-76.7984345,42.09195035,ST JOSEPHS HOSPITAL,125
-73.97713704,41.40187124,KELLER ARMY COMMUNITY HOSPITAL,-999
-78.19787395,43.0133403,VA MEDICAL CENTER - BATAVIA,-999
-73.77194459,42.65080818,VA MEDICAL CENTER - ALBANY STRATTON,-999
-78.81215039,42.95109263,VA MEDICAL CENTER - BUFFALO,-999
-73.97707927,40.73688147,VA MEDICAL CENTER - MANHATTAN CAMPUS,-999
-73.30869305,40.89367574,VA MEDICAL CENTER - NORTHPORT,-999
-74.02418643,40.60792285,VA MEDICAL CENTER - BROOKLYN CAMPUS,-999
-73.76867577,40.69064667,ST. ALBANS COMMUNITY LIVING CENTER,-999
-78.8671111,42.91923203,MALLARD FILLMORE GATES,-999
-74.81717152,39.08761376,CAPE REGIONAL MEDICAL CENTER,242
-90.4577401,42.44917757,MIDWEST MEDICAL CENTER,25
-88.91029407,38.3223146,GOOD SAMARITAN REGIONAL HLTH CENTER,146
-84.8668926,36.81986477,WAYNE COUNTY HOSPITAL,25
-84.11972991,36.9228222,BAPTIST REGIONAL MEDICAL CENTER,273
-83.87016565,36.85105102,BARBOURVILLE ARH HOSPITAL,25
-84.10900237,37.11771211,SAINT JOSEPH HOSPITAL LONDON,150
-82.60440829,38.09248664,THREE RIVERS MEDICAL CENTER,90
-76.7953656,39.13984869,CLIFTON T PERKINS HOSPITAL CENTER,250
-76.88586971,39.21435984,HOWARD COUNTY GENERAL HOSPITAL,253
-76.79311804,39.25569234,SHEPPARD PRATT AT ELLICOTT CITY,78
-103.6704807,30.38394439,BIG BEND REGIONAL MEDICAL CENTER,25
-102.8358621,32.96857601,YOAKUM COUNTY HOSPITAL,24
-97.77919934,31.43513711,CORYELL MEMORIAL HOSPITAL,25
-100.13516,32.88589548,HAMLIN MEMORIAL HOSPITAL,25
-97.87825546,28.8506567,OTTO KAISER MEMORIAL HOSPITAL,25
-97.65449953,29.67317456,SETON EDGAR B DAVIS HOSPITAL,25
-76.61942686,39.39075299,SHEPPARD AND ENOCH PRATT HOSPITAL,322
-76.61106351,39.38805718,UNIVERSITY OF MARYLAND SAINT JOSEPH MEDICAL CENTER,320
-89.38331938,38.08106974,PINCKNEYVILLE COMMUNITY HOSPITAL,25
-96.07767218,30.39244908,CHI ST JOSEPH HEALTH GRIMES HOSPITAL,25
-89.06342974,41.92831445,ROCHELLE COMMUNITY HOSPITAL,16
-96.21422745,28.71692636,PALACIOS COMMUNITY MEDICAL CENTER,17
-100.4360428,32.83343986,FISHER COUNTY HOSPITAL DISTRICT,14
-101.8161512,33.16728156,LYNN COUNTY HOSPITAL DISTRICT,24
-99.17664894,33.18990414,THROCKMORTON COUNTY MEMORIAL HOSPITAL,14
-101.7556051,34.53595958,SWISHER MEMORIAL HOSPITAL,20
-104.8275086,31.04917326,CULBERSON HOSPITAL,14
-87.66890982,41.87457186,RUSH UNIVERSITY MEDICAL CENTER,669
-87.58523506,41.75773061,JACKSON PARK HOSPITAL,260
-101.9353661,31.23288787,RANKIN COUNTY HOSPITAL DISTRICT,15
-87.56899688,41.74932739,SOUTH SHORE HOSPITAL,137
-87.69909548,41.90079984,NORWEGIAN-AMERICAN HOSPITAL,155
-87.69756973,41.56630404,ADVOCATE SOUTH SUBURBAN HOSPITAL,240
-87.73410328,41.5996574,OAK FOREST HOSPITAL,148
-88.68895879,41.9829477,"THC CHICAGO, INC. - DBA KINDRED HOSPITAL - SYCAMORE",69
-83.43932425,38.17947045,ST. CLAIRE REGIONAL MEDICAL CENTER,149
-85.55809622,38.27219096,CENTRAL STATE HOSPITAL,192
-84.28657055,37.57609496,SAINT JOSEPH BEREA,25
-88.36979939,36.86708362,MARSHALL COUNTY HOSPITAL,25
-85.75021846,38.24895576,FRAZIER REHAB INSTITUTE,135
-85.72281364,38.2151274,NORTON AUDUBON HOSPITAL,432
