name,latitude,longitude,authority,source,source
Beaver Ridge Wind,44.496700,-69.350000,ISO New England Inc.,,
Stoney Corners Wind Farm,44.190000,-85.298300,"Midcontinent Independent Transmission System Operator, Inc..",,
Nine Mile Gas Processing Plant,35.940800,-99.303300,Southwest Power Pool,,
G2 Energy Ostrom Road LLC,39.072800,-121.399200,California Independent System Operator,,
OREG 4 Peetz,40.992500,-102.853056,Western Area Power Administration - Rocky Mountain Region,,
Big Sky Wind LLC,41.599167,-89.456111,"PJM Interconnection, LLC",,
Tuana Springs,42.892500,-115.016400,Idaho Power Company,,
Eurus Combine Hills Turbine Ranch 2,45.943000,-118.591000,Bonneville Power Administration,,
Savannah River Site Biomass Cogen,33.283333,-81.666666,South Carolina Electric & Gas Company,Savannah River,Savannah River
Highland Wind Project (PA),40.304200,-78.690800,"PJM Interconnection, LLC",,
RV CSU Power LLC,40.591099,-105.145904,Public Service Company of Colorado,,
Beech Ridge Energy LLC,38.087800,-80.492500,"PJM Interconnection, LLC",,
Harvest Wind Project,45.813100,-120.347500,Bonneville Power Administration,,
Langford Wind Power,31.085435,-100.678820,"Electric Reliability Council of Texas, Inc.",,
Mesquite Lake Water & Power Plant 1,32.906569,-115.513747,Imperial Irrigation District,Redwood Lateral,Redwood Lateral
Barton Chapel Wind Farm,33.067970,-98.337652,"Electric Reliability Council of Texas, Inc.",,
Windy Flats Wind Project,45.726900,-120.833900,Bonneville Power Administration,,
White River Lock and Dam 1,35.757401,-91.636887,Southwestern Power Administration,White River,White River
White River Lock and Dam 2,35.744036,-91.765418,Southwestern Power Administration,White River,White River
White River Lock and Dam 3,35.843610,-91.850521,Southwestern Power Administration,White River,White River
Calabasas Gas to Energy Facility,34.151100,-118.723600,California Independent System Operator,,
Waste Management Tri-Cities LFGTE,37.497500,-121.985833,California Independent System Operator,,
Farmers Branch Renewable Energy Facility,33.031111,-96.957222,"Electric Reliability Council of Texas, Inc.",,
Waste Management Lockwood LFGTE,39.493315,-119.620304,Nevada Power Company,,
Mesquite Creek LFGTE Project,29.737200,-98.022800,"Electric Reliability Council of Texas, Inc.",,
Waste Management Naples LFGTE Project,26.155833,-81.658055,Florida Power & Light Company,,
Waste Management Piedmont LFGTE Project,36.193611,-80.040555,Duke Energy Carolinas,,
Suburban Landfill Gas Recovery,39.912438,-82.244992,"PJM Interconnection, LLC",,
Cedar Hills Wind Farm,46.245556,-103.767222,"Midcontinent Independent Transmission System Operator, Inc..",,
Glen Ullin Station 6,46.821400,-101.756400,"Midcontinent Independent Transmission System Operator, Inc..",none,none
Bridgewater Dairy Anaerobic Digester,41.629200,-84.669400,"PJM Interconnection, LLC",,
Colorado Highlands Wind,40.756944,-102.743055,Western Area Power Administration - Rocky Mountain Region,,
University of Delaware Wind Turbine,38.782931,-75.164903,"PJM Interconnection, LLC",,
Meadow Lake Wind Farm IV,40.677800,-87.032800,"PJM Interconnection, LLC",,
HSCo CHP,41.761400,-72.668600,ISO New England Inc.,CT River NPDES,CT River NPDES
Buckeye Geothermal Power Plant,38.824200,-122.840000,California Independent System Operator,Wells,Wells
Wild Horse Power Plant,38.841700,-122.830000,California Independent System Operator,Wells,Wells
PPL Frey Farm Landfill Wind,39.959167,-76.455555,"PJM Interconnection, LLC",,
PPL Glendon LFGTE Plant,40.667778,-75.232222,"PJM Interconnection, LLC",,
Orono Hydro Station,44.880300,-68.664700,ISO New England Inc.,Penobscot River,Penobscot River
Cricket Valley Energy,41.676111,-73.581111,New York Independent System Operator,Dry cooling system,Dry cooling system
Chautauqua LFGTE Facility,42.198900,-79.318600,New York Independent System Operator,,
Pillar Mountain Wind Project Microgrid,57.786900,-152.440600,,,
Vantage Wind Energy LLC,46.954700,-120.181900,Puget Sound Energy,,
Lost Creek Wind Energy Facility,39.981389,-94.518056,"Associated Electric Cooperative, Inc.",,
Little Quinnesec Falls Hydro Project,45.773600,-87.989400,"Midcontinent Independent Transmission System Operator, Inc..",Menominee River,Menominee River
Exelon Solar Chicago,41.675800,-87.651400,"PJM Interconnection, LLC",,
Spring Valley Wind Project,39.104167,-114.492222,Nevada Power Company,,
Ripley Westfield Wind LLC,42.241111,-79.635000,New York Independent System Operator,,
Day County Wind LLC,45.215000,-97.905600,Southwest Power Pool,,
Lower Snake River Wind Energy Project,46.524167,-117.821666,Bonneville Power Administration,,
"High Point, POLO",35.970000,-79.960000,Duke Energy Carolinas,,
Blue Wing Solar Energy Generation,29.304177,-98.400339,"Electric Reliability Council of Texas, Inc.",,
Bent Tree Wind Farm Phase 1,43.724596,-93.450429,"Midcontinent Independent Transmission System Operator, Inc..",,
Glacier Hills,43.563889,-89.148056,"Midcontinent Independent Transmission System Operator, Inc..",,
Shelby Solar Energy Generation Facility,35.253600,-81.595600,Duke Energy Carolinas,,
FPL Energy Montezuma Winds LLC,38.163581,-121.796610,California Independent System Operator,,
Jacksonville Solar,30.320748,-81.956377,JEA,,
Wyandot Solar Farm,40.879500,-83.317072,"PJM Interconnection, LLC",,
PSEG Hackettstown,40.860629,-74.822935,"PJM Interconnection, LLC",,
CM48,35.781400,-114.993300,California Independent System Operator,,
Soldotna,60.499444,-150.997222,,,
Thomson Reuters Data Center Bldg ES101,44.824400,-93.113900,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Thomson Reuters Data Center Bldg H,44.828900,-93.116700,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Municipality
Rumble Road Energy Center,32.975833,-83.846111,"Southern Company Services, Inc. - Trans",Municipality,Municipality
Cedar Creek II,40.947500,-103.783889,Public Service Company of Colorado,,
Goshen Phase II,43.467057,-111.836381,PacifiCorp - East,,
EC&R Papalote Creek II LLC,27.995800,-97.296700,"Electric Reliability Council of Texas, Inc.",,
ENEL Salt Wells LLC,39.294400,-118.572500,Nevada Power Company,,
Waverly Community Wind Project,42.731700,-92.471100,"Midcontinent Independent Transmission System Operator, Inc..",,
Crayola Solar Project,40.760545,-75.238452,"PJM Interconnection, LLC",,
Solar Photovoltaic Project #03,34.094279,-117.400113,California Independent System Operator,,
Solar Photovoltaic Project #04,34.071111,-117.520277,California Independent System Operator,,
Solar Photovoltaic Project #05,34.086276,-117.230571,California Independent System Operator,,
Solar Photovoltaic Project #06,34.041389,-117.573055,California Independent System Operator,,
Solar Photovoltaic Project #07,34.086111,-117.227500,California Independent System Operator,,
Solar Photovoltaic Project #08,34.041944,-117.565000,California Independent System Operator,,
Solar Photovoltaic Project #09,34.042778,-117.571666,California Independent System Operator,,
Solar Photovoltaic Project #10,34.075000,-117.516944,California Independent System Operator,,
Solar Photovoltaic Project #11,34.075833,-117.241388,California Independent System Operator,,
Solar Photovoltaic Project #12,34.042222,-117.561666,California Independent System Operator,,
Solar Photovoltaic Project #13,34.083499,-117.235570,California Independent System Operator,,
Solar Photovoltaic Project #14,34.068333,-117.507222,California Independent System Operator,,
Solar Photovoltaic Project #15,34.079167,-117.516666,California Independent System Operator,,
Solar Photovoltaic Project #16,34.085556,-117.233611,California Independent System Operator,,
Solar Photovoltaic Project #17,34.072778,-117.503333,California Independent System Operator,,
Solar Photovoltaic Project #18,34.083333,-117.516388,California Independent System Operator,,
Solar Photovoltaic Project #19,34.086944,-117.516944,California Independent System Operator,,
Solar Photovoltaic Project #20,34.089167,-117.203333,California Independent System Operator,,
Solar Photovoltaic Project #21,34.075278,-117.553611,California Independent System Operator,,
Solar Photovoltaic Project #23,34.080833,-117.520277,California Independent System Operator,,
Solar Photovoltaic Project #22,34.080000,-117.211400,California Independent System Operator,,
Roth Rock Wind Farm LLC,39.254444,-79.467222,"PJM Interconnection, LLC",,
"Roth Rock North Wind Farm, LLC",39.287222,-79.434444,"PJM Interconnection, LLC",,
Deerhaven Renewable,29.767500,-82.396388,Gainesville Regional Utilities,Upper Floridian Aquifer Wells,Upper Floridian Aquifer Wells
Mililani South Solar Farm,21.460000,-157.960300,,,
Cimarron Solar Facility,36.468078,-104.635659,Western Area Power Administration - Rocky Mountain Region,,
Kit Carson Windpower,39.338300,-102.353300,Western Area Power Administration - Rocky Mountain Region,,
Solar Photovoltaic Project #26,34.131214,-117.425324,California Independent System Operator,,
Solar Photovoltaic Project #27,34.131111,-117.421666,California Independent System Operator,,
Solar Photovoltaic Project #28,34.094167,-117.274166,California Independent System Operator,,
Welcome Wind Turbine,43.682500,-94.589200,"Midcontinent Independent Transmission System Operator, Inc..",,
Renewable Energy Services of Ohio,41.336200,-82.602000,"PJM Interconnection, LLC",,
Earthmovers LFGTE,41.622942,-85.975161,"Midcontinent Independent Transmission System Operator, Inc..",,
Lakota Wind Wind Farm,43.383900,-94.147500,Southwest Power Pool,,
Iowa Lakes Superior Wind Farm,43.445000,-94.980278,Southwest Power Pool,,
MA Military Reservation Wind Project,41.664700,-70.594200,ISO New England Inc.,,
Victor Valley CC CPV Solar,34.480170,-117.257938,California Independent System Operator,,
Trishe Wind Minnesota,45.153889,-94.881111,"Midcontinent Independent Transmission System Operator, Inc..",,
PA Solar Park,40.860142,-75.852206,"PJM Interconnection, LLC",,
Iowa Lakes Community College Wind Farm,43.385347,-94.815655,"Midcontinent Independent Transmission System Operator, Inc..",,
Texico Wind Ranch LP,34.360000,-103.066700,Southwest Power Pool,,
Lubbock Wind Ranch,33.569700,-101.765300,Southwest Power Pool,,
Cedro Hill Wind LLC,27.576111,-98.905278,"Electric Reliability Council of Texas, Inc.",,
Taloga Wind LLC,35.855556,-98.968333,Southwest Power Pool,,
Laredo Ridge Wind LLC,41.880278,-98.023889,Southwest Power Pool,,
Little Pringle I Wind Farm,35.964272,-101.540238,Southwest Power Pool,,
Little Pringle II Wind Farm,35.924858,-101.541363,Southwest Power Pool,,
Dorchester Solar Site,42.300802,-71.047171,ISO New England Inc.,,
Marsh Landing Generating Station,38.016944,-121.765000,California Independent System Operator,,
Chestnut Flats Wind Farm,40.522846,-78.476921,"PJM Interconnection, LLC",,
Haverhill Solar Power Project,42.781056,-71.092562,ISO New England Inc.,,
NEDC Solar Site,42.105237,-71.702979,ISO New England Inc.,,
Grant County Wind LLC,45.803300,-95.884400,"Midcontinent Independent Transmission System Operator, Inc..",,
Crescent Dunes Solar Energy,38.238889,-117.363610,Nevada Power Company,Wells,Wells
Crofton Bluffs Wind LLC,42.698333,-97.580000,Southwest Power Pool,,
Aqua Ingrams Mill,39.964700,-75.657800,"PJM Interconnection, LLC",,
OREG 3 Inc,43.760000,-94.751400,"Midcontinent Independent Transmission System Operator, Inc..",,
Alta Wind Energy Center I,35.033725,-118.353422,California Independent System Operator,,
Flat Water Wind Farm LLC,40.001100,-95.928900,Southwest Power Pool,,
Minonk Wind Farm,40.888611,-88.997222,"PJM Interconnection, LLC",,
Sandy Ridge Wind Farm,40.729207,-78.287350,"PJM Interconnection, LLC",,
OU Spirit Wind Farm,36.333803,-99.480144,Southwest Power Pool,,
Hardscrabble Wind Power LLC,43.112222,-74.878888,New York Independent System Operator,,
Big Blue,43.612222,-94.191944,"Midcontinent Independent Transmission System Operator, Inc..",,
Northern Colorado Wind LLC,40.988100,-102.896900,Public Service Company of Colorado,,
Alta Wind Energy Center II,35.023889,-118.295278,California Independent System Operator,,
Alta Wind Energy Center III,35.023889,-118.295278,California Independent System Operator,,
Alta Wind Energy Center IV,35.008611,-118.242222,California Independent System Operator,,
Alta Wind Energy Center V,35.008611,-118.242222,California Independent System Operator,,
Alpine Solar,34.789200,-118.504700,California Independent System Operator,,
Carleton College,44.461908,-93.156387,"Midcontinent Independent Transmission System Operator, Inc..",,
Cedar Hills,47.455833,-122.042778,Puget Sound Energy,Municipality,Municipality
Dunlap,42.043611,-106.160278,PacifiCorp - East,,
Criterion,39.404700,-79.290000,"PJM Interconnection, LLC",,
Dutch Wind Energy,33.894200,-116.560300,California Independent System Operator,,
Garnet Wind Energy Center,33.905300,-116.582500,California Independent System Operator,,
Loraine Windpark Project LLC,32.437500,-100.744400,"Electric Reliability Council of Texas, Inc.",,
Southern Owens Valley Solar Ranch,36.797739,-118.083801,Los Angeles Department of Water and Power,,
Adelanto Solar Project,34.550833,-117.435277,Los Angeles Department of Water and Power,,
Pine Tree Solar Project,35.229635,-118.195700,Los Angeles Department of Water and Power,,
Van Norman Bypass Solar Project,34.291111,-118.481111,Los Angeles Department of Water and Power,,
Maclay Solar Project,34.319722,-118.430833,Los Angeles Department of Water and Power,,
Pacific Cruise Ship Terminals Berth 93,33.733100,-118.277220,Los Angeles Department of Water and Power,N/A,N/A
1420 Coil Av #C,33.794283,-118.241405,Los Angeles Department of Water and Power,N/A,N/A
Occidental College Solar Project,34.128300,-118.206903,Los Angeles Department of Water and Power,N/A,N/A
LATTC South Campus Solar,34.033056,-118.269722,Los Angeles Department of Water and Power,,
Metro Support Services Center Solar,34.057800,-118.229722,Los Angeles Department of Water and Power,N/A,N/A
Los Angeles Harbor College,33.783102,-118.284930,Los Angeles Department of Water and Power,N/A,N/A
Cedar Point Wind,39.421787,-103.678140,Public Service Company of Colorado,,
San Luis Valley Solar Ranch,37.694535,-105.927622,Public Service Company of Colorado,,
Copper Crossing Solar LLC,33.160601,-111.484011,Salt River Project,,
Big Horn Wind II,45.919200,-120.303900,Avangrid Renewables LLC,,
Juniper Canyon I Wind Project,45.921500,-120.235500,Avangrid Renewables LLC,,
Mayberry Solar LLC,36.476667,-80.601111,Duke Energy Carolinas,,
Mont Belvieu Cogeneration Unit,29.838138,-94.900661,"Electric Reliability Council of Texas, Inc.",,
Sierra SunTower Solar Gen Station,34.730600,-118.135000,California Independent System Operator,Well,Well
Luke Solar,33.526111,-112.379440,Arizona Public Service Company,,
FPL Energy Illinois Wind LLC,41.767800,-88.886700,"PJM Interconnection, LLC",,
Sunray Wind I,35.945400,-101.900500,Southwest Power Pool,N/A,N/A
Top of the World Windpower Project,42.925800,-105.787200,PacifiCorp - East,,
Kent County Wastewater Treatment Solar,38.993056,-75.437500,"PJM Interconnection, LLC",,
Mojave Solar Project,35.017717,-117.339144,California Independent System Operator,On-Site Wells,On-Site Wells
Crossroads Wind Farm,36.035000,-98.722222,Southwest Power Pool,,
Leaning Juniper Wind Power II,45.651000,-120.259800,Avangrid Renewables LLC,,
DE Solar 10240 Old Dowd Rd,35.245800,-80.996700,Duke Energy Carolinas,,
DE Solar 657 Brigham Rd,36.105300,-79.969200,Duke Energy Carolinas,,
DE Solar 1725 Drywall Dr,35.326100,-80.996700,Duke Energy Carolinas,,
Dover Sun Park,39.183611,-75.504444,"PJM Interconnection, LLC",,
Roadrunner Solar,31.792778,-106.673333,El Paso Electric Company,,
Panoche Valley Solar Farm,36.780050,-120.729752,California Independent System Operator,,
Silver Lake Solar Farm,40.494804,-74.399511,"PJM Interconnection, LLC",,
White Oak Energy LLC,40.590833,-89.046666,"Midcontinent Independent Transmission System Operator, Inc..",,
Cargill B6 Biofactory,42.716700,-114.616700,Idaho Power Company,WELL,WELL
Cargill Dry Creek Biofactory,42.424937,-114.229225,Idaho Power Company,Wells,Wells
"Kettle Butte Digester, LLC",43.631944,-112.279722,PacifiCorp - East,Wells,Wells
Elk City LLC,35.464200,-99.898300,Southwest Power Pool,,
Baldwin Wind LLC,47.113300,-100.708600,"Midcontinent Independent Transmission System Operator, Inc..",,
CityCenter Central Plant Cogen Units,36.103900,-115.179400,Nevada Power Company,,
Garrison Energy Center LLC,39.187195,-75.499396,"PJM Interconnection, LLC",Municipality,Municipality
Uilk Wind LLC,43.981100,-96.426900,"Midcontinent Independent Transmission System Operator, Inc..",,
Trenton Solar Farm,40.231400,-74.753900,"PJM Interconnection, LLC",,
Thermo No 1,38.160653,-113.194462,PacifiCorp - East,Wells,Wells
Fox Island Wind LLC,44.094167,-68.865833,ISO New England Inc.,,
Henrico,37.678800,-77.567800,"PJM Interconnection, LLC",Wells,Wells
Red Mesa Wind LLC,35.268900,-107.382800,Public Service Company of New Mexico,,
Keenan II Renewable Energy Co LLC,36.276111,-99.490833,Southwest Power Pool,,
Avenal Park,35.989722,-120.110000,California Independent System Operator,,
Sun City Project LLC,35.983056,-120.110277,California Independent System Operator,,
Sand Drag LLC,35.982778,-120.110277,California Independent System Operator,,
Morgantown Solar Park,40.152069,-75.865916,"PJM Interconnection, LLC",,
510 REPP One,36.497200,-77.605800,"PJM Interconnection, LLC",,
Siphon Drop Power Plant,32.779200,-114.634400,Western Area Power Administration - Desert Southwest Region,All American Canal/Colorado Rv,All American Canal/Colorado Rv
MP Durham LLC,36.031100,-78.860000,Duke Energy Carolinas,NA,NA
MP Wayne LLC,35.288900,-78.070300,Duke Energy Progress East,,
Pocono Solar Project,41.061022,-75.514924,"PJM Interconnection, LLC",,
Cogentrix of Alamosa,37.598579,-105.955832,Public Service Company of Colorado,,
Questa Solar Facility,36.716944,-105.609440,Public Service Company of New Mexico,,
Bellevue Solar Project,45.112222,-123.234722,Portland General Electric Company,,
Agua Caliente Solar Project,32.977400,-113.494500,California Independent System Operator,,
Lakefield Wind Project LLC,43.675000,-95.156666,"Midcontinent Independent Transmission System Operator, Inc..",,
Adams Wind Generations LLC,44.916944,-94.735555,"Midcontinent Independent Transmission System Operator, Inc..",,
Jersey Valley Geothermal Power Plant,40.180800,-117.473900,Nevada Power Company,,
Greater Sandhill I,37.685467,-105.890900,Public Service Company of Colorado,,
AV Solar Ranch One,34.780278,-118.424440,California Independent System Operator,,
Dry Lake Wind II LLC,34.606200,-110.173400,Arizona Public Service Company,,
New England Wind LLC,42.729700,-73.023600,ISO New England Inc.,,
Linden Solar Farm,40.620000,-74.214400,"PJM Interconnection, LLC",,
Yardville Solar Farm,40.168811,-74.656719,"PJM Interconnection, LLC",,
WEA Texas Bayonne,40.677200,-74.091900,"PJM Interconnection, LLC",,
Matrix Buildings A&B (Perth Amboy) Solar,40.534393,-74.269998,"PJM Interconnection, LLC",,
Community Wind North LLC,44.245556,-96.406389,"Midcontinent Independent Transmission System Operator, Inc..",,
Ridgewind,44.018889,-96.065277,"Midcontinent Independent Transmission System Operator, Inc..",,
Ashtabula Wind III LLC,47.124200,-97.895600,"Midcontinent Independent Transmission System Operator, Inc..",,
GSK York RDC Solar Facility,40.043856,-76.735474,"PJM Interconnection, LLC",,
TAA Solar Facility,32.115833,-110.940833,Tucson Electric Power Company,,
UASTP I,32.096973,-110.810600,Tucson Electric Power Company,,
Big Sky Dairy Digester,42.865600,-114.791400,Idaho Power Company,,
Genesis Solar Energy Project,33.665000,-114.998055,California Independent System Operator,Air Cooled Condensor,Air Cooled Condensor
Danielson Wind Farms LLC,45.071667,-94.752222,"Midcontinent Independent Transmission System Operator, Inc..",,
Dow Jones South Brunswick Solar,40.369772,-74.586850,"PJM Interconnection, LLC",,
Lakeview Cogeneration LLC,42.188889,-120.679166,PacifiCorp - West,Air Cooled Condensor,Air Cooled Condensor
Cannelton Hydroelectric Plant,37.899722,-86.705833,"Midcontinent Independent Transmission System Operator, Inc..",Ohio River,Ohio River
Smithland Hydroelectric Plant,37.169636,-88.419518,"Midcontinent Independent Transmission System Operator, Inc..",Ohio River,Ohio River
Willow Island Hydroelectric Plant,39.357760,-81.317950,"PJM Interconnection, LLC",Ohio River,Ohio River
Taylorsville Solar LLC,35.909074,-81.152498,Duke Energy Carolinas,,
Northwest Regional,33.681944,-112.476666,Arizona Public Service Company,,
Oneida Herkimer,43.462222,-75.418333,New York Independent System Operator,,
Eagle Valley (MI),42.722500,-83.263055,"Midcontinent Independent Transmission System Operator, Inc..",,
Prairie View IL,41.343056,-88.101389,"PJM Interconnection, LLC",,
Prairie Bluff,33.954444,-88.992500,"Southern Company Services, Inc. - Trans",,
West Camden,36.057892,-88.141965,Tennessee Valley Authority,,
Geneva,41.795000,-80.910000,"PJM Interconnection, LLC",,
Mahoning,40.914444,-80.586111,"PJM Interconnection, LLC",,
Knouse Solar Project 1,40.026400,-77.234400,"PJM Interconnection, LLC",,
Notus Wind 1,41.608300,-70.608900,ISO New England Inc.,,
Sherbino II,30.772575,-102.505808,"Electric Reliability Council of Texas, Inc.",,
Elk Wind Farm,42.583889,-91.370833,"Midcontinent Independent Transmission System Operator, Inc..",,
RPI Fuel Cell LLC,34.028611,-117.601388,California Independent System Operator,,
UTS SJ1 LLC,37.433056,-121.941944,California Independent System Operator,,
Gratiot Wind Park,43.433889,-84.497500,"Midcontinent Independent Transmission System Operator, Inc..",,
Yolo County Solar Project,38.659722,-121.729400,California Independent System Operator,,
Buffalo Ridge II LLC,44.528100,-96.626700,"Midcontinent Independent Transmission System Operator, Inc..",,
Double A Digester,42.853942,-114.471911,Idaho Power Company,,
Ryegrass Windfarm,43.037147,-115.439731,Idaho Power Company,,
Hammett Hill Windfarm,43.006133,-115.463289,Idaho Power Company,,
Mainline Windfarm,43.048350,-115.412886,Idaho Power Company,,
Desert Meadow Windfarm,43.056622,-115.452025,Idaho Power Company,,
Cold Springs Windfarm,43.028056,-115.400469,Idaho Power Company,,
Oak Glen Wind Farm,43.920556,-93.140555,"Midcontinent Independent Transmission System Operator, Inc..",,
Bellefontaine Gas Producers LLC,40.410751,-83.717880,"PJM Interconnection, LLC",n/a,n/a
Valley View Transmission LLC,43.902753,-96.021744,"Midcontinent Independent Transmission System Operator, Inc..",,
Solar Star North Carolina II LLC,36.425000,-77.064000,"PJM Interconnection, LLC",,
Davidson Gas Producers LLC,35.841299,-80.183458,Duke Energy Carolinas,n/a,n/a
Juniper Ridge Hydroelectric Project,44.142698,-121.269747,PacifiCorp - West,Deschutes River,Deschutes River
"Solar Park Gainesville, LLC",29.700407,-82.337828,Gainesville Regional Utilities,,
California Valley Solar Ranch,35.323739,-119.916630,California Independent System Operator,,
Solar Photovoltaic Project #42,36.028056,-119.074722,California Independent System Operator,,
Silver State Solar Power North,35.793056,-115.350280,Nevada Power Company,,
Pine Tree Acres WM LFGTE,42.765000,-82.745555,"Midcontinent Independent Transmission System Operator, Inc..",,
Two Ponds Windfarm,43.033781,-115.482592,Idaho Power Company,,
McGinness Hills,39.591100,-116.911900,Nevada Power Company,,
Laurel Mountain,39.007200,-79.886600,"PJM Interconnection, LLC",,
Pilesgrove,39.613028,-75.309477,"PJM Interconnection, LLC",,
Blue Creek Wind Project,40.931515,-84.561824,"PJM Interconnection, LLC",,
Tuscarora Geothermal Power Plant,41.482800,-116.151100,Nevada Power Company,,
NRG Solar Borrego I,33.298889,-116.350830,California Independent System Operator,,
San Emidio,40.380556,-119.399722,Nevada Power Company,Cooling Wells,Cooling Wells
Seneca Sustainable Energy LLC,44.116306,-123.179007,Bonneville Power Administration,Wells,Wells
145 Talmadge Solar,40.535787,-74.391268,"PJM Interconnection, LLC",,
Mountain View IV,33.881600,-116.552700,California Independent System Operator,,
Caltech Central,34.135800,-118.126700,California Independent System Operator,,
"Martins Creek Solar NC, LLC",35.020415,-84.015676,Duke Energy Carolinas,,
Napoleon Solar I,41.388431,-84.095841,"PJM Interconnection, LLC",,
Bishop Hill Energy LLC,41.215278,-90.120833,"PJM Interconnection, LLC",,
Romark PA Solar,40.936111,-76.038888,"PJM Interconnection, LLC",,
Blue Ridge Landfill,39.961944,-77.561111,"PJM Interconnection, LLC",,
Westervelt Moundville Cogen,32.960714,-87.655419,"Southern Company Services, Inc. - Trans",Municipality,Municipality
Crystal Lake 3 LLC,43.319200,-93.883600,"Midcontinent Independent Transmission System Operator, Inc..",,
Garden Wind LLC,42.224436,-93.373625,"Midcontinent Independent Transmission System Operator, Inc..",,
Marlboro Mill,34.605000,-79.785000,South Carolina Public Service Authority,Pee Dee River,Pee Dee River
Murray Hill Solar,40.684444,-74.404444,"PJM Interconnection, LLC",,
TBE-Montgomery LLC,41.488500,-74.226200,New York Independent System Operator,Wells,Wells
Dartmouth Solar,41.715804,-70.974448,ISO New England Inc.,,
Ralls Wind Farm,33.661111,-101.390000,Southwest Power Pool,,
John L. Featherstone Plant,33.204635,-115.573303,Imperial Irrigation District,Imperial Irrigation District,Imperial Irrigation District
TSGT Mobile Generator #15,36.934000,-106.986500,Public Service Company of New Mexico,,
Black Rock I,33.159400,-115.614400,California Independent System Operator,Raw Water from IID,Raw Water from IID
Black Rock II,33.159400,-115.614400,California Independent System Operator,Raw Water from IID,Raw Water from IID
Black Rock III,33.159400,-115.614400,California Independent System Operator,Raw Water from IID,Raw Water from IID
Chittenden County Solar Partners,44.436111,-73.145277,ISO New England Inc.,,
"Sentinel Energy Center, LLC",33.934167,-116.571388,California Independent System Operator,WELL (simple cycle gas turbine,WELL (simple cycle gas turbine
Mariposa Energy Project,37.789167,-121.601944,California Independent System Operator,Simple Cycle Peaker,Simple Cycle Peaker
Manzana Wind LLC,34.934900,-118.461200,California Independent System Operator,,
Flemington Solar,40.483888,-74.856666,"PJM Interconnection, LLC",,
Frenchtown I Solar,40.521667,-75.012222,"PJM Interconnection, LLC",,
Frenchtown II Solar,40.514444,-74.976944,"PJM Interconnection, LLC",,
Lebanon Solar,40.675833,-74.912222,"PJM Interconnection, LLC",,
Oak Grove Power Producers,37.629700,-94.641400,Southwest Power Pool,,
Imperial Solar Energy Center South,32.663289,-115.658284,California Independent System Operator,,
Imperial Solar Energy Center West,32.772225,-115.779311,California Independent System Operator,,
Sampson County Disposal,34.985600,-78.462500,Duke Energy Progress East,Black Creek Aquifer,Black Creek Aquifer
Settlers Trail Wind Farm LLC,40.694444,-87.570833,"Midcontinent Independent Transmission System Operator, Inc..",,
Masser Farms Realty Solar,40.640556,-76.605417,"PJM Interconnection, LLC",,
Tieton Dam Hydro Electric Project,46.658000,-121.128700,PacifiCorp - West,Rimrock Lake,Rimrock Lake
Stroud Solar Station,36.531389,-120.106944,California Independent System Operator,,
Five Points Solar Station,36.400278,-120.103333,California Independent System Operator,,
Westside Solar Station,36.378726,-120.124898,California Independent System Operator,,
Laurel Wind Farm,41.883333,-92.933333,"Midcontinent Independent Transmission System Operator, Inc..",,
Rolling Hills Wind Farm,41.197300,-94.774400,"Midcontinent Independent Transmission System Operator, Inc..",,
Perdido,30.570000,-87.390000,"Southern Company Services, Inc. - Trans",,
TECO CHP-1,29.703454,-95.398317,"Electric Reliability Council of Texas, Inc.",,
Monroe Generating Station,34.985814,-80.506037,Duke Energy Carolinas,,
FRV SI Transport Solar LP,38.486900,-121.391100,California Independent System Operator,,
RV CSU Power II LLC,40.592841,-105.147097,Public Service Company of Colorado,,
Carson Solar I,38.722800,-104.781700,Western Area Power Administration - Rocky Mountain Region,,
Ocotillo Express LLC,32.752778,-116.044722,California Independent System Operator,,
Walnut Creek Energy Park,34.008709,-117.944864,California Independent System Operator,Rowland Water Dist (reclaimed),Rowland Water Dist (reclaimed)
KODE Novus I,36.543889,-101.393611,Southwest Power Pool,,
DeWind Frisco,36.498514,-101.605278,Southwest Power Pool,,
Purdue Energy Park,40.527222,-87.002500,"PJM Interconnection, LLC",,
Trexlertown Solar Array North and South,40.556211,-75.593873,"PJM Interconnection, LLC",,
Trinity Hills,33.383611,-98.711944,"Electric Reliability Council of Texas, Inc.",,
Giffen,36.530278,-120.316111,California Independent System Operator,,
Cantua Solar Station,36.425085,-120.343543,California Independent System Operator,,
Huron Solar Station,36.181389,-120.030555,California Independent System Operator,,
Roger Road WWTP,32.289400,-111.033100,Tucson Electric Power Company,,
Kapaa Photovoltaic Project,22.080416,-159.331599,,,
North Hurlburt Wind LLC,45.731611,-120.083466,Bonneville Power Administration,,
Solar Photovoltaic Project #25,34.130556,-117.421944,California Independent System Operator,,
Kawailoa Wind,21.610278,-158.040833,,,
Palouse,47.155833,-117.364444,Avista Corporation,,
Bingham Wind,45.103333,-69.761944,ISO New England Inc.,,
Solar Photovoltaic Project #30,34.064722,-117.425833,California Independent System Operator,,
Solar Photovoltaic Project #31,34.086667,-117.565833,California Independent System Operator,,
Solar Photovoltaic Project #32,34.031667,-117.571944,California Independent System Operator,,
Solar Photovoltaic Project #33,34.032500,-117.569166,California Independent System Operator,,
