name,latitude,longitude,authority,source,owner
Georgia-Pacific Corp - Nekoosa Mill,44.314200,-89.896400,"Midcontinent Independent Transmission System Operator, Inc..",Wisconsin River,Wisconsin Power & Light Co
Dillard Complex,43.089500,-123.415600,PacifiCorp - West,South Umpqua River,PacifiCorp
Pixelle Specialty Solutions LLC - Spring Grove Facility,39.870935,-76.868117,"PJM Interconnection, LLC",North Codorus Creek,Metropolitan Edison Co
International Paper Savanna Mill,32.100354,-81.124248,"Southern Company Services, Inc. - Trans",Wells,Georgia Power Co
Sand Bar Power Plant,38.186100,-120.150000,California Independent System Operator,Middle Fork Stanislous River,Pacific Gas & Electric Co
BP Chemicals Green Lake Plant,28.570700,-96.833300,"Electric Reliability Council of Texas, Inc.",Guadalupe River,AEP Texas Central Company
Somerset Plant,44.703467,-69.647441,ISO New England Inc.,Kennebec River,Central Maine Power Co
Mobile Energy Services LLC,30.736487,-88.051643,"Southern Company Services, Inc. - Trans",Mobile Area Water And Sewer,Alabama Power Co
Park Mill,45.105800,-87.651400,"Midcontinent Independent Transmission System Operator, Inc..",Menominee River,Wisconsin Public Service Corp
Menominee Mill Marinette,45.106900,-87.637800,"Midcontinent Independent Transmission System Operator, Inc..",Menominee River,Wisconsin Public Service Corp
Chester Operations,39.843743,-75.358801,"PJM Interconnection, LLC",Delaware River,PECO Energy Co
Rutgers Biomedical and Health Cogen,40.739280,-74.187633,"PJM Interconnection, LLC",Newark Water Company,Public Service Elec & Gas Co
Olmsted Waste Energy,44.026072,-92.432313,"Midcontinent Independent Transmission System Operator, Inc..",Well,Rochester Public Utilities
Penacook Upper Falls Hydro,43.283208,-71.600827,ISO New England Inc.,Contoocook River,Unitil Energy Systems
Tannery Island Power,43.980000,-75.613100,New York Independent System Operator,Black River,Niagara Mohawk Power Corp.
Orchard Avenue 1,46.596413,-120.677489,PacifiCorp - West,Tieton River,PacifiCorp
Cowiche,46.692628,-120.737194,PacifiCorp - West,Tieton River,PacifiCorp
Duluth Paper Mill,46.734957,-92.162085,"Midcontinent Independent Transmission System Operator, Inc..",St Louis River/Lake Superior,"ALLETE, Inc."
Bronx Zoo,40.844114,-73.876888,New York Independent System Operator,,Consolidated Edison Co-NY Inc
University of Michigan,42.281167,-83.734617,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Detroit Edison Co
Ada Dam,42.950642,-85.485944,"Midcontinent Independent Transmission System Operator, Inc..",Thornapple River,Consumers Energy Co
Sugarloaf Hydro Plant,39.252672,-106.374808,Public Service Company of Colorado,Arkansas River,Public Service Co of Colorado
Cascade Dam,42.909408,-85.498880,"Midcontinent Independent Transmission System Operator, Inc..",Thornapple River,Consumers Energy Co
French Landing Dam,42.214264,-83.440692,"Midcontinent Independent Transmission System Operator, Inc..",Huron River,DTE Electric Company
Oconto Falls Lower,44.871900,-88.143900,"Midcontinent Independent Transmission System Operator, Inc..",Oconto River,Wisconsin Electric Power Co
S D Warren Westbrook,43.684857,-70.353152,ISO New England Inc.,Presumpscot River,Central Maine Power Co
Indeck Silver Springs Energy Center,42.654400,-78.077200,New York Independent System Operator,Wells,New York State Elec & Gas Corp
Indeck Oswego Energy Center,43.471745,-76.493474,New York Independent System Operator,Municipality,Niagara Mohawk Power Corp.
Indeck Yerkes Energy Center,42.967100,-78.918200,New York Independent System Operator,Municipality,Niagara Mohawk Power Corp.
Procter & Gamble Cincinnati Plant,39.175000,-84.504200,"PJM Interconnection, LLC",Wells,Duke Energy Ohio Inc
Indeck Corinth Energy Center,43.250000,-73.812500,New York Independent System Operator,Hudson River,Niagara Mohawk Power Corp.
Cheboygan,45.637537,-84.481387,"Midcontinent Independent Transmission System Operator, Inc..",Cheboygan River,Consumers Energy Co
Procter & Gamble Mehoopany Mill,41.574259,-76.043233,"PJM Interconnection, LLC",Susquenna River,Pennsylvania Electric Co
Oxnard,34.196000,-119.166700,California Independent System Operator,City of Oxnard,Southern California Edison Co
Flint River Operations,32.254400,-84.066700,"Southern Company Services, Inc. - Trans",Flint River,Georgia Transmission Corp
Buckeye Florida LP,30.068800,-83.525300,Progress Energy Florida,Wells,"Duke Energy Florida, Inc"
Rocky Mount Mill,35.960058,-77.802435,Duke Energy Progress East,Tar River,Duke Energy Progress - (NC)
Deer Park Plant,29.710000,-95.112777,,CWA,
"Covanta Niagara I, LLC",43.083900,-79.005600,New York Independent System Operator,Niagara River & Municipality,Niagara Mohawk Power Corp.
Suwannee River Chemical Complex,30.444700,-82.784200,Progress Energy Florida,Wells,Progress Energy Florida Inc
Swift Creek Chemical Complex,30.452200,-82.864400,Progress Energy Florida,Wells,"Duke Energy Florida, Inc"
Corpus Christi,27.811083,-97.595813,"Electric Reliability Council of Texas, Inc.",Municipality,AEP Texas Central Company
Packaging of America Tomahawk Mill,45.443100,-89.734200,"Midcontinent Independent Transmission System Operator, Inc..",Wisconsin River,Wisconsin Public Service Corp
Georgia-Pacific Big Island,37.534000,-79.357000,"PJM Interconnection, LLC",James River,Appalachian Power Co
Tennessee Eastman Operations,36.521900,-82.543100,"PJM Interconnection, LLC",South Fork - Holston River,Kingsport Power Co
Clewiston Sugar House,26.735100,-80.937700,Progress Energy Florida,Municipality,City of Clewiston
Bryant Sugar House,26.814167,-80.662777,,Municipality,
Altech III,33.915023,-116.555064,California Independent System Operator,,Southern California Edison Co
PPG Powerhouse A,30.225054,-93.281280,"Midcontinent Independent Transmission System Operator, Inc..",Calcasieu River/Wells,Entergy Gulf States - LA LLC
PPG Riverside,30.221746,-93.280693,"Midcontinent Independent Transmission System Operator, Inc..",Calcasieu River/Wells,Entergy Gulf States - LA LLC
PPG Powerhouse C,30.226120,-93.295173,"Midcontinent Independent Transmission System Operator, Inc..",Sabine River Water and Wells,Entergy Gulf States - LA LLC
PPG Plant C Caustic,30.226444,-93.293765,"Midcontinent Independent Transmission System Operator, Inc..",Sabine River Water and Wells,Entergy Gulf States - LA LLC
Axiall Natrium Plant,39.747500,-80.854700,"PJM Interconnection, LLC",Ohio River,Wheeling Power Co
Gas Utilization Facility,32.679172,-117.246698,California Independent System Operator,Treated Waste Water,San Diego Gas & Electric Co
Double C Generation Limited Partnership,35.500500,-119.046000,California Independent System Operator,Well,Pacific Gas & Electric Co
Kern Front Limited,35.516470,-119.040128,California Independent System Operator,Wells,Pacific Gas & Electric Co
High Sierra Limited,35.509041,-119.030546,California Independent System Operator,Well,Pacific Gas & Electric Co
Bayonne Plant Holding LLC,40.655325,-74.112442,"PJM Interconnection, LLC",Municipality,Public Service Elec & Gas Co
Capitol District Energy Center,41.763900,-72.692500,ISO New England Inc.,Metropolitan Water District,Connecticut Light & Power Co
PCS Phosphate,35.376266,-76.779864,Duke Energy Progress East,Castle Haynes Aquifer,Duke Energy Progress - (NC)
Mosaic Co Mulberry Facility,27.891667,-81.925000,Tampa Electric Company,Wells,Tampa Electric Co
Glen Park Hydroelectric Project,44.000608,-75.961156,New York Independent System Operator,Black River,Niagara Mohawk Power Corp.
Stillwater Reservoir Hydro,43.897386,-75.040000,New York Independent System Operator,Beaver River,Niagara Mohawk Power Corp.
Fort Miller Hydroelectric Facility,43.160868,-73.584076,New York Independent System Operator,Hudson River,Niagara Mohawk Power Corp.
Equilon Los Angeles Refining,33.791667,-118.234722,Los Angeles Department of Water and Power,Wells,Los Angeles Department of Water & Power
Victory Garden (Tehachapi),35.068600,-118.383300,California Independent System Operator,,Southern California Edison Co
Painted Hills Wind Park,33.936900,-116.618300,California Independent System Operator,,Southern California Edison Co
Santa Clara (85C),37.736100,-121.647500,California Independent System Operator,,Southern California Edison Co
Mesa Wind Power Corp,33.946100,-116.676900,California Independent System Operator,,Southern California Edison Co
Sky River LLC,35.260800,-118.246900,California Independent System Operator,,Southern California Edison Co
SRI International Cogen Project,37.455314,-122.172797,California Independent System Operator,"Calaveras, Hetch Hetchy",Pacific Gas & Electric Co
Boltonville Hydro Associates,44.170600,-72.099400,ISO New England Inc.,Wells River,Green Mountain Power Corp
BP Carson Refinery,33.815300,-118.235800,California Independent System Operator,Well,Southern California Edison Co
Harbor Cogen,33.777100,-118.230300,California Independent System Operator,Municipality,Southern California Edison Co
Port Townsend Paper,48.093100,-122.795800,Bonneville Power Administration,Bigquilcene Riv &Prttowns Bay,PUD No 1 of Jefferson County
Lawrence Hydroelectric Associates,42.699400,-71.165300,ISO New England Inc.,Merrimack River,Massachusetts Electric Co
Bowman,39.448352,-120.653417,California Independent System Operator,Bowman Lake,Pacific Gas & Electric Co
GPS Cabazon Wind LLC,33.914986,-116.710260,California Independent System Operator,,Southern California Edison Co
Edom Hills Project 1 LLC,33.881667,-116.460278,California Independent System Operator,,Southern California Edison Co
Rosemary Power Station,36.451700,-77.659400,"PJM Interconnection, LLC",Municipality,Virginia Electric & Power Co
Oklahoma Cogeneration Project,35.439722,-97.625000,Southwest Power Pool,Municipality,Oklahoma Gas & Electric Co
Pacific-Ultrapower Chinese Station,37.874056,-120.477556,California Independent System Operator,Wells,Pacific Gas & Electric Co
Eagle Point Power Generation,39.874600,-75.159200,"PJM Interconnection, LLC",Delaware River,Public Service Elec & Gas Co
Settlers Hill Gas Recovery,41.871914,-88.287721,"PJM Interconnection, LLC",,City of Geneva- (IL)
New Milford Gas Recovery,41.547671,-73.425237,ISO New England Inc.,,Connecticut Light & Power Co
Monroe Livingston Gas Recovery,42.990300,-77.801100,New York Independent System Operator,,Niagara Mohawk Power Corp.
Milam Gas Recovery,38.660300,-90.131700,"Midcontinent Independent Transmission System Operator, Inc..",,Union Electric Co - (MO)
High Acres Gas Recovery,43.081667,-77.381667,New York Independent System Operator,,Rochester Gas & Electric Corp
DFW Gas Recovery,33.019646,-96.961986,Public Service Company of New Mexico,,Public Service Co of NM
Chestnut Ridge Gas Recovery,36.117200,-84.031700,Tennessee Valley Authority,,Knoxville Utilities Board
Altamont Gas Recovery,37.749308,-121.649866,California Independent System Operator,,Pacific Gas & Electric Co
CSL Gas Recovery,26.287966,-80.166526,Florida Power & Light Company,Municipality,Florida Power & Light Co
CID Gas Recovery,41.658794,-87.577716,"PJM Interconnection, LLC",,Commonwealth Edison Co
Lake Gas Recovery,42.106250,-87.813738,"PJM Interconnection, LLC",,Commonwealth Edison Co
Metro Gas Recovery,42.850556,-88.069722,"Midcontinent Independent Transmission System Operator, Inc..",,Wisconsin Electric Power Co
Omega Hills Gas Recovery,43.192200,-88.159700,"Midcontinent Independent Transmission System Operator, Inc..",,Wisconsin Electric Power Co
Stowe Power Production Plant,40.272440,-75.670351,"PJM Interconnection, LLC",,PECO Energy Co
Saint Johns Health Center,34.030318,-118.478440,California Independent System Operator,City of Santa Monica,Southern California Edison Co
Westwood Generation LLC,40.619100,-76.450000,"PJM Interconnection, LLC",Well,PPL Electric Utilities Corp
McKittrick Limited,35.319503,-119.661992,California Independent System Operator,Municipality,Pacific Gas & Electric Co
Mosinee Mill,44.788100,-89.691700,"Midcontinent Independent Transmission System Operator, Inc..",Wisconsin River,Wisconsin Public Service Corp
TXU Sweetwater Generating Plant,32.492831,-100.364973,"Electric Reliability Council of Texas, Inc.",Municipality,
Flambeau River Papers,45.935600,-90.447200,"Midcontinent Independent Transmission System Operator, Inc..",Flambeau River,Northern States Power Co
Central Power Plant,41.744973,-71.458415,ISO New England Inc.,Providence Water Supply,
Berry Cogen Tanne Hills 18,35.089829,-119.440881,California Independent System Operator,,Pacific Gas & Electric Co
Gaviota Oil Plant,34.475067,-120.205107,California Independent System Operator,,Southern California Edison Co
"Torrance Refining Company, LLC",33.853360,-118.330000,California Independent System Operator,Recycled Water,Southern California Edison Co
ExxonMobil Beaumont Refinery,30.063600,-94.075300,"Midcontinent Independent Transmission System Operator, Inc..",Lower Neches Valley Authority,Entergy Texas Inc.
Chalmette Refining LLC,29.938300,-89.970000,"Midcontinent Independent Transmission System Operator, Inc..",,Entergy Louisiana LLC
ExxonMobil Oil Joliet Refinery,41.416700,-88.183300,"PJM Interconnection, LLC",Desplaines River,Commonwealth Edison Co
Paulsboro Refinery,39.840000,-75.258300,"PJM Interconnection, LLC",Delaware River,Atlantic City Electric Co
Covanta Lake County Energy,28.740206,-81.889188,Progress Energy Florida,Wells,"Duke Energy Florida, Inc"
Covanta Marion Inc,45.048467,-122.962761,Portland General Electric Company,Wells,Portland General Electric Co
Covanta Stanislaus Energy,37.385300,-121.141000,California Independent System Operator,Wells,Pacific Gas & Electric Co
Mosaic Co Bartow Facility,27.908000,-81.918500,Tampa Electric Company,Wells,Tampa Electric Co
Brainerd Public Utilities,46.375800,-94.181700,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Brainerd Public Utilities
Clearwater Paper IPP Lewiston,46.423056,-116.976389,Avista Corporation,Clearwater River,Avista Corp
Clearwater Paper APP CB,33.706100,-91.237100,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Entergy Arkansas Inc
Sappi Cloquet Mill,46.724300,-92.429800,"Midcontinent Independent Transmission System Operator, Inc..",Lake Superior,"ALLETE, Inc."
Covanta Indianapolis Energy,39.734456,-86.189075,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,Indianapolis Power & Light Co
Covanta Bristol Energy,41.649200,-72.915300,ISO New England Inc.,Municipality,Connecticut Light & Power Co
Covanta Babylon Inc,40.734800,-73.386800,New York Independent System Operator,Wells,Long Island Power Authority
ReEnergy Stratton LLC,45.140614,-70.425577,ISO New England Inc.,Wells,Central Maine Power Co
Lyonsdale Associates,43.618874,-75.305460,New York Independent System Operator,Moose River,Niagara Mohawk Power Corp.
Steamboat Hills LP,39.370000,-119.766944,Nevada Power Company,Wells,Sierra Pacific Power Co
Huntington Resource Recovery Facility,40.881400,-73.290600,New York Independent System Operator,Suffolk County Water Authority,Long Island Power Authority
Montgomery County Resource Recovery,39.200600,-77.455600,"PJM Interconnection, LLC",Mirant Discharge Canal,Potomac Electric Power Co
Covanta Fairfax Energy,38.695000,-77.241100,"PJM Interconnection, LLC",Municipality,Virginia Electric & Power Co
Covanta Tulsa Renewable Energy LLC,36.131900,-96.018100,Southwest Power Pool,Municipality,Public Service Co of Oklahoma
Covanta Haverhill,42.765000,-71.124200,ISO New England Inc.,Municipality,Massachusetts Electric Co
Onondaga County Resource Recovery,43.004700,-76.114900,New York Independent System Operator,NA,Niagara Mohawk Power Corp.
Covanta Alexandria/Arlington Energy,38.801400,-77.128800,"PJM Interconnection, LLC",Municipality,Virginia Electric & Power Co
Pasco Cnty Solid Waste Resource Recovery,28.368100,-82.558300,Progress Energy Florida,Municipality,"Duke Energy Florida, Inc"
Municipal Cogen Plant,33.824700,-116.510600,California Independent System Operator,Desert Water Agency,Southern California Edison Co
Gardiner,44.221796,-69.785675,ISO New England Inc.,Cobbosseecontee River,Central Maine Power Co
San Gorgonio Westwinds II LLC,33.934000,-116.578100,California Independent System Operator,,Southern California Edison Co
Plant No 1 Orange County,33.694200,-117.938100,California Independent System Operator,Treated Waste Water,Southern California Edison Co
Pumpkin Hill,45.186800,-68.464900,ISO New England Inc.,Passadumkeag River,Emera Maine
Lilliwaup Falls Generating,47.470600,-123.115300,Bonneville Power Administration,Lilliwaup Creek,PUD No 1 of Mason County
Salmon Falls,43.226977,-70.810888,ISO New England Inc.,Salmon Falls River,Public Service Co of NH
Somersworth Lower Great Dam,43.251111,-70.840833,ISO New England Inc.,Salmon Falls River,Public Service Co of NH
JM Shafer Generating Station,40.098600,-104.773600,Public Service Company of Colorado,Municipality,Public Service Co of Colorado
Thermo Greeley,40.440600,-104.686300,Public Service Company of Colorado,Municipality,Public Service Co of Colorado
University of Alaska Fairbanks,64.854171,-147.822075,,Municipality,Golden Valley Elec Assn Inc
Huntington Falls,44.070300,-73.196100,ISO New England Inc.,Otter Creek,Green Mountain Power Corp
Notch Butte Hydro,42.954384,-114.462563,Idaho Power Company,Littlewood River,Idaho Power Co
Tazewell Gas Recovery,40.681700,-89.516700,"Midcontinent Independent Transmission System Operator, Inc..",,Ameren Illinois Company
BP Naperville Cogeneration Facility,41.810800,-88.148600,"PJM Interconnection, LLC",City Of Naperville,City of Naperville - (IL)
ExxonMobil Garden City Gas Plant,29.700000,-91.550000,,Municipality,
Clairton Works,40.309700,-79.881900,"PJM Interconnection, LLC",Monongahela River,Duquesne Light Co
Mon Valley Works,40.392500,-79.856400,"PJM Interconnection, LLC",Monongahela River,Duquesne Light Co
Gary Works,41.622426,-87.328936,"Midcontinent Independent Transmission System Operator, Inc..",Lake Michigan,Northern Indiana Pub Serv Co
Exeter Energy LP,41.712448,-71.822251,ISO New England Inc.,Sterling Municipal Water Co,Connecticut Light & Power Co
Pinetree Power Tamworth,43.835833,-71.196700,ISO New England Inc.,Wells,Public Service Co of NH
Pontook Hydro Facility,44.632842,-71.247420,ISO New England Inc.,Androscoggin River,Public Service Co of NH
Starrett City Cogen Facility,40.649200,-73.879200,New York Independent System Operator,NYC Dep,Consolidated Edison Co-NY Inc
Sterling Power Plant,43.080338,-75.600963,New York Independent System Operator,Municipality,Niagara Mohawk Power Corp.
Agnews Power Plant,37.405800,-121.927200,California Independent System Operator,Municipality,Pacific Gas & Electric Co
Coalinga Cogeneration Facility,36.170317,-120.364084,California Independent System Operator,Municipality,Pacific Gas & Electric Co
Southeast Kern River Cogen,35.420600,-118.964400,California Independent System Operator,Wells,Pacific Gas & Electric Co
South Belridge Cogeneration Facility,35.438611,-119.707500,California Independent System Operator,,Pacific Gas & Electric Co
Oak Creek Energy Systems I,35.043889,-118.276388,California Independent System Operator,,Southern California Edison Co
New Hogan Power Plant,38.149582,-120.814942,California Independent System Operator,New Hogan Reservoir,Pacific Gas & Electric Co
Pejepscot Hydroelectric Project,43.957448,-70.024158,ISO New England Inc.,Hydroelectric,Central Maine Power Co
West End Dam Hydroelectric Project,43.982890,-75.620583,New York Independent System Operator,Hydroelectric-River,Niagara Mohawk Power Corp.
Empire,40.371400,-119.409200,Nevada Power Company,Cooling Wells,Sierra Pacific Power Co
Ormesa IH,32.784200,-115.247500,Imperial Irrigation District,Imperial Irrigation Water Dist,Imperial Irrigation District
Steamboat 1,39.393900,-119.753700,Nevada Power Company,Wells,Sierra Pacific Power Co
Ormesa IE,32.804100,-115.247500,Imperial Irrigation District,Imperial Irrigation Water Dist,Imperial Irrigation District
Stillwater Facility,39.547537,-118.555613,Nevada Power Company,Wells,Sierra Pacific Power Co
Ormesa I,32.815600,-115.256800,Imperial Irrigation District,Imperial Irrigation Water Dist,Imperial Irrigation District
Forestport,43.442468,-75.215946,New York Independent System Operator,Black River,Niagara Mohawk Power Corp.
Viking Energy of McBain,44.204000,-85.220600,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Consumers Energy Co
Viking Energy of Lincoln,44.680000,-83.416700,"Midcontinent Independent Transmission System Operator, Inc..",Wells,ITC Transmission
Telogia Power,30.334900,-84.818200,Progress Energy Florida,Wells,"Duke Energy Florida, Inc"
Panther Creek Energy Facility,40.855600,-75.878100,"PJM Interconnection, LLC",Municipality  Resevoir,Metropolitan Edison Co
Taylor Energy Partners LP,41.387778,-75.717222,"PJM Interconnection, LLC",,PPL Electric Utilities Corp
Lafayette Energy Partners LP,41.175000,-74.763100,"PJM Interconnection, LLC",,Jersey Central Power & Lt Co
Parlin Power Plant,40.460717,-74.327161,"PJM Interconnection, LLC",Municipality,Jersey Central Power & Lt Co
Seminole Mill,30.417800,-81.597800,JEA,"Deep Wells, Recycle",JEA
Port Wentworth Mill,32.156100,-81.158600,"Southern Company Services, Inc. - Trans",Municipality,Georgia Power Co
Florence Mill,34.149700,-79.560600,Duke Energy Progress East,Great Pee Dee River,Duke Energy Progress - (NC)
WestRock Panama City Mill,30.141984,-85.621103,"Southern Company Services, Inc. - Trans",Municipality,Gulf Power Co
Westrock Hodge (LA),32.275200,-92.727700,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Entergy Louisiana LLC
Hopewell Mill,37.291400,-77.281600,"PJM Interconnection, LLC",Appomatox & James Rivers,Virginia Electric & Power Co
Optim Energy Altura Cogen LLC,29.816100,-95.107730,"Electric Reliability Council of Texas, Inc.",San Jacinto River Basin,CenterPoint Energy
Dyer Road,37.739200,-121.432200,California Independent System Operator,Municipality,Pacific Gas & Electric Co
ESI Project,37.739167,-121.432222,California Independent System Operator,Municipality,Pacific Gas & Electric Co
East Winds Project,33.890913,-116.541515,California Independent System Operator,,Southern California Edison Co
Mojave 16,35.045000,-118.264200,California Independent System Operator,,Southern California Edison Co
Mojave 18,35.046000,-118.275700,California Independent System Operator,,Southern California Edison Co
Tres Vaqueros Wind Farms LLC,37.771944,-121.740000,California Independent System Operator,n/a,Pacific Gas & Electric Co
Twin Falls Hydro,47.444554,-121.687812,Puget Sound Energy,Snoqualmie River,Puget Sound Energy Inc
Nove Power Plant,37.967600,-122.382000,California Independent System Operator,,City of Alameda
Chicopee Hydroelectric Station,42.159595,-72.582790,ISO New England Inc.,Chicopee River,City of Chicopee - (MA)
TES Filer City Station,44.217299,-86.289050,"Midcontinent Independent Transmission System Operator, Inc..",Manistee Lake,ITC Transmission
Southeast Resource Recovery,33.759236,-118.239922,California Independent System Operator,Municipality,Southern California Edison Co
Gramercy Holdings LLC,30.054000,-90.669300,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Entergy Louisiana LLC
PE Berkeley,37.870331,-122.263370,California Independent System Operator,East Bay MWD,Pacific Gas & Electric Co
OLS Energy Chino,33.989626,-117.680911,California Independent System Operator,Municipality,Southern California Edison Co
CSUCI Site Authority,34.161951,-119.047916,California Independent System Operator,Municipality,Southern California Edison Co
Elmwood Park Power LLC,40.905337,-74.130448,"PJM Interconnection, LLC",Municipality,Public Service Elec & Gas Co
Hillsborough County Resource Recovery,27.954901,-82.340469,Tampa Electric Company,Municipality,Tampa Electric Co
Lancaster County Resource Recovery,40.071100,-76.643600,"PJM Interconnection, LLC","Municipality, Waste",Metropolitan Edison Co
Kent County Waste to Energy Facility,42.949575,-85.693209,"Midcontinent Independent Transmission System Operator, Inc..",Grand River,Consumers Energy Co
Sargent Canyon Cogeneration,35.935900,-120.840800,California Independent System Operator,Cooling Municipality,Pacific Gas & Electric Co
Salinas River Cogeneration,35.951500,-120.867900,California Independent System Operator,Cooling Municipality,Pacific Gas & Electric Co
Wheelabrator Claremont Facility,43.344000,-72.377300,ISO New England Inc.,Town Of Claremont,Public Service Co of NH
Wheelabrator Concord Facility,43.286600,-71.576900,ISO New England Inc.,Merrimack River,Unitil Energy Systems
McKay Bay Facility,27.949528,-82.421182,Tampa Electric Company,Advanced Wastewater,Tampa Electric Co
Wheelabrator Norwalk Energy,33.924898,-118.067853,California Independent System Operator,Municipality,Southern California Edison Co
Wheelabrator North Andover,42.726200,-71.121900,ISO New England Inc.,Greater Lawrence Sanitary Dist,Massachusetts Electric Co
Wheelabrator Millbury Facility,42.221400,-71.766900,ISO New England Inc.,Aquarion Water Company,Massachusetts Electric Co
Wheelabrator Frackville Energy,40.782377,-76.176184,"PJM Interconnection, LLC",Mine Pool,PPL Electric Utilities Corp
Wheelabrator Saugus,42.447000,-70.980400,ISO New England Inc.,Saugus River,Massachusetts Electric Co
Wheelabrator Shasta,40.428329,-122.279248,California Independent System Operator,Wells,Pacific Gas & Electric Co
Wheelabrator Westchester,41.277129,-73.942344,New York Independent System Operator,Hudson River,Consolidated Edison Co-NY Inc
Wheelabrator Bridgeport,41.162500,-73.208300,ISO New England Inc.,Municipality,United Illuminating Co
Pinellas County Resource Recovery,27.873300,-82.674100,Progress Energy Florida,Bridgeway Acres Landfill Pond,"Duke Energy Florida, Inc"
Wheelabrator Gloucester LP,39.873300,-75.138100,"PJM Interconnection, LLC",Delaware River,Public Service Elec & Gas Co
Spokane Waste to Energy,47.626327,-117.504240,Avista Corporation,Municipality,Avista Corp
Wheelabrator South Broward,26.068700,-80.198600,Florida Power & Light Company,Municipality,Florida Power & Light Co
Northampton Generating Company LP,40.691700,-75.479200,"PJM Interconnection, LLC",Lehigh River,PPL Electric Utilities Corp
Ivy River Hydro,35.771627,-82.618270,Duke Energy Progress East,Ivy River,Duke Energy Progress - (NC)
El Dorado Hydro Elk Creek,45.217784,-116.315770,Idaho Power Company,Elk Creek,Idaho Power Co
Rock Creek LP,38.783420,-120.778506,California Independent System Operator,Rock Creek,Pacific Gas & Electric Co
Allegheny No. 5 Hydro Station,40.682875,-79.665298,"PJM Interconnection, LLC",Allegheny River,West Penn Power Company
Allegheny No 6 Hydro Station,40.716389,-79.577222,"PJM Interconnection, LLC",Allegheny River,West Penn Power Company
Bypass,42.560876,-114.057461,Idaho Power Company,North Side Canal,Idaho Power Co
S E Hazelton A,42.586701,-114.067537,Idaho Power Company,North Side Canal,Idaho Power Co
Allegheny Hydro No 8,40.896596,-79.478982,"PJM Interconnection, LLC",Allegheny River,New York State Elec & Gas Corp
Allegheny Hydro No 9,40.955961,-79.550681,"PJM Interconnection, LLC",Allegheny River,New York State Elec & Gas Corp
Covington Facility,37.799722,-79.994700,"PJM Interconnection, LLC",Jackson River,Virginia Electric & Power Co
Sagamore Plant Cogeneration,40.443900,-86.860000,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Duke Energy Indiana Inc
Fox Metro Water Reclamation District,41.712800,-88.352200,"PJM Interconnection, LLC",Wells,Commonwealth Edison Co
Univ New Mexico Cogen Plant,35.120278,-106.609722,Public Service Company of New Mexico,Wells,Public Service Co of NM
Ford Utilities Center,35.084078,-106.625191,Public Service Company of New Mexico,Wells,Public Service Co of NM
Oswego County Energy Recovery,43.348808,-76.425169,New York Independent System Operator,Oswego River,Niagara Mohawk Power Corp.
Middle Fork Irrigation District,45.480701,-121.599840,Bonneville Power Administration,Middle Fork Of Hood River,Hood River Electric Coop
Erie Coke,42.143919,-80.069581,"PJM Interconnection, LLC",Municipality,Pennsylvania Electric Co
Co-Gen LLC,44.458696,-118.720601,Bonneville Power Administration,John Day River,"Oregon Trail El Cons Coop, Inc"
Yellowstone Energy LP,45.811700,-108.427800,NorthWestern Energy (NWMT),"Yellowstone River , Municipal",NorthWestern Energy LLC - (MT)
Des Moines Wastewater Reclamation Fac,41.573415,-93.557743,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,MidAmerican Energy Co
Rhinelander Mill,45.639400,-89.420500,"Midcontinent Independent Transmission System Operator, Inc..",Wisconsin River,Wisconsin Public Service Corp
Caterpillar,40.417500,-86.844700,"Midcontinent Independent Transmission System Operator, Inc..",,Duke Energy Indiana Inc
Winnebago County Landfill Gas,44.083000,-88.541100,"Midcontinent Independent Transmission System Operator, Inc..",,Wisconsin Public Service Corp
William Beaumont Hospital,42.517500,-83.191900,"Midcontinent Independent Transmission System Operator, Inc..",Municipality,DTE Electric Company
Galesville Project,42.848900,-123.177800,PacifiCorp - West,Cow Creek,PacifiCorp
Lagoon Cogeneration Facility,40.987200,-111.898300,PacifiCorp - East,Culinary,PacifiCorp
Hardee Power Station,27.636400,-81.963600,Tampa Electric Company,Cooling Water Reservior,Tampa Electric Co
Wheelabrator Martell,38.367222,-120.804444,,Municipality,
Sunnyside Cogen Associates,39.547200,-110.391700,PacifiCorp - East,Grassy Trail Creek,PacifiCorp
Saint Francis Hospital,42.024200,-87.684700,"PJM Interconnection, LLC",Municipality,Commonwealth Edison Co
Rousselot Inc,42.521747,-70.938657,ISO New England Inc.,Wells,City of Peabody - (MA)
Bowater Newsprint Calhoun Operation,35.296400,-84.756900,Tennessee Valley Authority,Hiawassee River,Tennessee Valley Authority
Union County Resource Recovery,40.601264,-74.266372,"PJM Interconnection, LLC",Municipality,Public Service Elec & Gas Co
Slate Creek,40.976859,-122.456251,PacifiCorp - West,Slate Creek,PacifiCorp
Naval Hospital Medical Center,32.726100,-117.146400,California Independent System Operator,,San Diego Gas & Electric Co
Amedee Geothermal Venture I,40.300833,-120.105000,California Independent System Operator,Well,Pacific Gas & Electric Co
