longitude,latitude,name
-98.191056,28.460444,Three Rivers Wwtp
-112.15036,36.049614,Grand Canyon South Rim Wwtp
-99.834806,33.39175,City Of O'Brien Wwtf
-85.135556,36.876667,Usace Wolf Creek Dam Grouting
-74.299944,41.270222,Warwick (T) Sd#1
-79.04848,39.48151,Piedmont City Of
-123.23,44.219,Junction City  Stp
-85.730556,40.836111,Lagro Municipal Stp
-75.068611,38.387222,Ocean City Wwtp
-96.235194,35.248806,Wetumka-South Wwtf
-97.69378,41.69997,Lindsay Wastewater Treatment Facility
-98.47175,40.854083,Alda Wastewater Treatment Facility
-95.65516,40.39743,Brownville Wastewater Treatment Facility
-71.451444,41.736483,Warwick Wwtf
-86.340722,38.201944,Leavenworth Wwtp
-97.485694,43.365167,Freeman - City Of
-85.173139,40.748139,Bluffton Wwtp
-121.90444,38.34648,Easterly Wwtp
-84.5542,43.0125,St Johns Wwtp
-97.466917,42.863028,Sd Gfp - Chf White Crane
-109.439,47.074583,Lewistown Wwtp
-74.983861,40.821583,Oxford Area Wtf
-94.200583,39.361139,Homestead Village Wwtf
-91.1525,41.890278,Stanwood City Of Stp
-84.466667,46.25,Kinross Twp Wwtp
-74.159056,41.116222,Western Ramapo Awtp
-94.78142,31.18806,City Of Diboll Wwtp
-73.371056,42.330528,West Stockbridge W W T F
-76.235779,40.671757,Greater Pottsville Area Sa
-102.051106,45.006928,Faith - City Of
-88.71525,43.642194,Waupun City Wwtf
-91.416667,44.333333,Independence Wastewater Treatm
-83.183149,38.731752,Shawnee State Park Campground Wwtp
-89.083056,39.918333,"Warrensburg Stp, Village Of"
-89.223333,37.908333,"Elkville Stp, Village Of"
-77.078333,37.348333,Charles City County Schools Ww
-82.0711,37.0811,Buchanan Cnty Public Schools -
-81.143122,37.337923,Green Valley-Glenwood Psd
-77.357332,38.048702,Bowling Green Wastewater Treat
-81.48175,41.00945,Upper Tuscarawas Wwtp No 36
-98.33975,32.06375,Dublin Wwtf
-76.524028,38.812056,Broadwater Water Reclamation F
-75.6321,39.96601,West Chester Taylor Run Wwtp
-87.283417,40.288,Williamsport Wastewater Treatment Plant
-84.444528,33.096167,Concord North Pond #2
-75.457966,40.120939,Oaks Wwtp
-89.661748,35.084256,Collierville Stp
-87.187167,39.152389,Jasonville Municipal Wwtp
-95.396583,28.968278,City Of Freeport Wwtp
-103.50364,41.78994,Minatare Wastewater Treatment Facility
-91.1975,34.584722,"Holly Grove, City Of"
-123.3567,42.9508,Riddle  Stp
-74.931285,39.004724,Lower Township Mua
-79.305278,37.306389,Bedford County Schools - New L
-89.575278,35.376111,North West School
-93.003494,31.738775,"Natchitoches, City Of"
-91.144361,44.316278,Taylor Wastewater Treatment Fa
-80.215833,32.985278,Comm Of Pw/Summerville Wwtf
-74.361222,41.746472,Napanoch Sewer Imp Area
-74.023083,42.710222,Altamont (V) Wwtf
-76.214444,43.205139,Oak Orchard Stp
-78.8278,38.2861,Grottoes Wwtp
-78.009722,38.481944,Culpeper Wastewater Treatment
-121.280625,45.686852,Lyle Potw
-68.436667,44.623889,Green Lake Nat'L Fish Hatchery
-89.06875,32.986972,"Noxapater Potw, South"
-80.007901,39.571194,Unknown
-112.270806,33.781889,Central Az Water Conservation
-90.589861,38.253056,Hillsboro
-77.517222,37.152778,Rohoic Creek Wastewater Treatm
-74.336972,42.598194,Middleburgh (V) Wwtp
-157.86996,21.31938,B117 Barbers Point
-81.702616,30.488436,Florida Air National Guard
-68.141333,46.759389,Washburn Wwtf
-116.196944,33.715278,Valley Sd Wwtp
-121.394302,39.101021,Beale Afb Wwtp
-117.939003,33.692034,"Orange County Sd, Rp #1 & Tp #2"
-92.433694,36.596806,Gainesville Wwtf
-86.641833,39.630306,Stilesville Wwtp
-77.965507,34.968266,Kenansville Wwtp
-77.030477,35.85766,Williamston Wwtp
-76.485002,36.200278,Hertford Wwtp
-74.240833,42.216389,Hunter (V) Wwtf
-93.65565,42.09779,"Gilbert, City Of Stp"
-95.625861,36.709556,"Nowata, City Of"
-80.3231,39.258825,Nutter Fort City Of
-92.688139,37.976472,Camdenton Business Park
-90.209667,33.4065,Sidon Potw
-122.70175,45.63324,Vancouver West Stp
-95.688861,40.491,Upper Nishnabotna Mitigation Site
-85.766667,40.566667,President Of The Town Board
-85.95613,36.247223,Gordonsville Stp
-66.382671,18.2369,Prasa Alturas De Orocovis Wwtp
-90.2861,32.3621,Clinton Briars Potw
-96.935377,43.611005,"Hartford, City Of"
-97.13072,46.264221,Wyndmere City Of
-77.217444,42.976417,Manchester-Shortville Jnt Stp
-98.896444,32.7715,City Of Breckenridge_Wwtf
-94.9022,43.12078,Ruthven City Of Stp
-76.633011,40.98703,Valley Twp Muni Auth
-119.86924,39.64563,Stead Wrf
-95.177972,30.169083,Roman Forest Mud Wwtf
-84.62057,41.47586,Durham Estates Sd
-91.795444,40.697139,Bonaparte City Of Stp
-83.048701,32.43378,Town Of Dexter Wpcp
-87.783278,42.700111,Racine Wastewater Utility
-88.032246,42.68938,Union Grove Village Wwtf
-82.751406,32.125283,"Alamo,  City Of"
-75.720833,43.354167,Camden (V) Wwtp
-78.933611,37.051111,Brookneal Town - Falling River
-71.052576,42.367206,Us Coast Guard Isc Boston
-117.152474,47.002431,Garfield Stp
-88.25004,35.070918,Tva Pickwick Hydro Plant
-79.188925,40.678399,Indiana Co Muni Serv Auth
-110.916556,46.541472,White Sulphur Springs Wwtf
-74.274315,40.941765,Laurel Homes Stp
-82.140478,38.836469,Henderson Town Of
-119.09699,44.7554,Long Creek  Stp
-75.475752,39.712808,Carneys Point Stp
-74.180197,39.907944,Ocean County Utilities Authori
-147.382528,64.743889,"North Pole, City Of"
-89.487361,43.88975,Westfield Wwtf
-90.396278,46.39775,Whitecap Mountains Sanitary District
-106.0825,32.845556,Holloman Afb Wastewater Tr.Plt
-78.86334,36.029866,North Durham Water Reclamation Facility
-97.906389,28.894167,Milam Street Wwtp (Plant No.2)
-96.393222,29.447694,Garwood Facilities Wwtf
-90.286861,33.825556,Glendora Potw
-81.54865,40.68684,Mayfield Park Mhp
-89.913,43.7014,Lyndon Station Wwtf
-122.51565,48.717997,Bellingham Stp
-85.816667,40.8,Union Mills Wwtp
-73.918222,42.840167,Schenectady (C) Stp
-87.61518,45.41412,Stephenson Wwtp
-89.33913,31.3558,Hattiesburg  North Lagoon
-90.390278,43.331083,Richland Center City Wwtf
-95.271879,29.954111,City Of Humble
-92.133592,37.753453,Flw - Trainee Barracks Complex Vi
-85.23375,41.358083,"Avilla Wwtp, Town Of"
-77.30693,39.691764,Town Of Emmitsburg
-70.79827,42.239353,Cohasset W W T P
-81.625,31.858306,National Guard Training Center
-92.421699,37.098078,Norwood Wwtf
-73.724,42.69,Albany Co Sd - North Wwtp
-88.712472,44.104139,Winneconne Wastewater Treatmen
-103.63413,41.25469,Kimball Wastewater Treatment Facility
-91.09924,44.0178,Mindoro San Dist 1 Wwtf
-89.638333,40.498333,South Pekin Stp
-86.4365,41.535444,North Liberty Wwtp
-114.036417,46.881917,City Of Missoula Wwtp
-87.2577,30.9651,Town Of Century
-75.364167,43.625,Lyons Falls (V) Wwtf
-104.6778,40.3827,Evans City Of Wwtf
-96.483472,42.069111,Rosalie Wastewater Treatment
-111.164444,47.511389,Malmstrom Afb Hydrant Discharge
-92.284222,38.911389,"Usdoi, Columbia Env. Research Center"
-89.287944,42.6325,Orfordville Wastewater Treatme
-88.366472,43.696778,Eden Wastewater Treatment Faci
-77.416667,39.416667,Lewistown Mills Wwtp # 2
-73.4273,41.2585,"Redding, Town Of"
-104.866195,39.566755,Cottonwood Wtr & San Dist Wwt
-84.847222,39.0075,Western Reg Water Reclam Fac
-103.59792,41.83347,Scottsbluff Wastewater Treatment Facility
-84.373333,46.011111,Clark Township Wwsl
-88.991667,46.490278,Interior Twp Wwsl
-123.078431,47.20567,Shelton Stp
-90.37582,42.56884,Benton Wastewater Treatment Fa
-91.54313,41.48456,Riverside City Of Stp
-90.6445,33.421389,Indianola Potw
-111.20083,47.51194,Western Group Housing - Malmstrom Afb Community Center
-86.192,34.2699,Albertville East Side Wwtp
-80.861476,27.343109,Usace - Kissimmee River Asr Pi
-83.828,40.572333,Reed Road Wwtp
-110.191,42.265,Labarge Wastewater Lagoon
-121.551139,39.067139,Olivehurst Pud Wwtf
-86.506806,40.298806,"Frankfort Wwtp, City Of"
-90.823167,45.154722,Gilman Wastewater Treatment Fa
-86.35,41.833333,Buchanan Wwtp
-86.265083,41.839361,Niles Wwtp
-83.207985,42.05941,S Huron Valley Ua Wwtp
-113.116667,45.425,Western Fed. Lands Hwy Div. Grasshopper Creek 318 Permit
-122.72702,46.57032,Lewis County Water Dist No 2
-76.859837,39.05568,Fda - Center For Veterinary Medicine
-90.411667,38.279389,Pevely Wwtp
-102.8595,46.53608,New England City Of
-103.00923,48.89098,Noonan City Of
-90.538056,41.510556,Moline Stp - North Slope Plant
-66.085166,18.429114,Prasa Puerto Nuevo Wwtp
-96.051111,35.864833,Mounds Pwa
-88.82725,36.22344,Sharon Lagoon
-88.096426,36.235335,Big Sandy Stp
-83.698447,40.377763,A And E Campground Llc
-87.188222,41.315361,Hebron Wastewater Treatment Plant
-92.132639,37.749507,"Flw - Bct Iii, Phase Ii"
-99.90113,40.29396,Arapahoe Wastewater Treatment Facility
-102.577221,43.059818,Evergreen Lagoon
-85.450931,36.54013,Usa Coe D Hol-Obey R Rec A-Ce
-93.370836,37.14928,Springfield Sw Wwtp
-90.05,46.483333,Bessemer Area Sa Wwtp
-79.688376,40.297848,Hempfield Twp Mun Auth - Rolling Hills Stp
-99.761556,45.078222,"Lebanon, Town Of"
-107,37.25,Pagosa Springs San District Wwtf
-118.174014,46.273291,Waitsburg Stp
-87.9345,42.736056,Yorkville Sewer Utitlity Dist
-75.382399,40.245937,Indian Hills Stp
-92.8895,44.5164,Cannon Falls_Wwtf
-93.817139,35.682582,Usda/Us Forest Service-Cass Civilian Conservation Center
-66.420171,18.336062,Prasa Morovis Wwtp
-92.119028,37.764944,Flw-Child Development Center
-82.709167,39.8965,Sycamore Creek Wrf
-89.426667,40.421667,"Hopedale Stp, Village Of"
-96.906472,44.888361,Kranzburg - Town Of
-80.5363,27.8887,"Barefoot Bay, City Of - Bcud/ Barefoot Bay Wwtf"
-114.8585,42.761163,Hagerman National Fish Hatchery
-76.177442,40.707034,St Clair Wwtp
-134.648611,58.385,"Juneau, City & Borough Of"
-92.074387,37.7175,"Usa, Maneuver Support Cnt"
-106.99635,44.681615,"Sheridan County School District #1, Bighorn School Wastewater System Drainage"
-87.926667,42.164167,Lcdpw-Des Plaines River Stp
-76.953308,40.259256,Hampden Twp. San. Auth.
-108.592507,47.599526,Cmr Nat Wildlife Refuge Pesticide
-156.991139,20.787611,Us Army Corps Of Engineers
-86.998889,45.853333,City Of Gladstone Wwtp
-109.936067,40.463623,Whiterocks
-84.20437,40.62439,Country Club Hills Property Owners Assoc Wwtp
-85.069222,41.30925,Dekalb County Airport Wwtp
-84.4428,41.7381,Waldron Wwsl
-76.016667,37.263889,Cape Charles Town - Wastewater
-82.799722,36.855278,Big Stone Gap Regional Wwtp
-108.515944,37.469889,Dolores Wwtf
-85.344134,36.359229,Livingston Stp
-91.116667,43.75,Barron Island Wastewater Trtmn
-81.081698,35.269539,Lowell Wwtp
-82.2797,40.8764,Ashland Wwtp
-81.56769,38.26815,Burning Springs Sewer Assoc
-67.523889,44.725,Whitneyville Wwtf
-96.646639,33.017611,North Texas Mwd
-82.75188,28.11114,William E Dunn Wrf
-83.913361,40.709861,Village Of Harrod
-75.355453,40.257326,Harleysville Stp
-77.86258,40.186,Shade Gap Area Joint Mun Auth
-96.17125,38.383389,Emporia Wastewater Plant
-96.0274,43.18072,Boyden City Of Stp
-95.492399,30.244094,Montgomery County Mud 112 Wwtp
-132.35,56.345556,Pats Creek
-92.14259,44.4382,Pepin Wastewater Treatment Fac
-87.847596,44.094795,Clarks Mills Sanitary District
-94.4125,43.0571,Whittemore City Of Stp
-96.32422,42.97715,Ireton City Of Stp
-111.84898,40.76812,Uinta-Wasatch Cache National Forest
-76.708581,39.20594,Unknown
-95.92918,41.208332,Omaha Missouri River Wwtf
-77.6097,36.437095,Roanoke River Wwtp
-101.404444,35.668333,Rock Creek Wwtp
-99.108917,34.989833,Hobart Public Works Authority
-81.85619,38.40494,Marlaing Psd
-85.153889,40.344944,Redkey Wwtp
-84.7588,39.82719,Odot Parks 8-39 And 8-40 Wwtp
-116.016111,44.477778,"Cascade, City Of (Wwtp)"
-83.183333,43.233333,North Branch Wwsl No 2
-97.980141,43.555283,Ethan - Town Of
-87.201944,41.596667,Portage Utility Service Facility Wwtp
-69.946303,43.915427,Brunswick S D Wwtf
-70.255584,43.673684,East End Wwtf
-73.940167,41.2705,Buchanan (V) Wwtp
-70.643157,41.927406,Plymouth W W T P
-80.272001,39.477891,Carolina Improvement Assoc
-104.583611,40.516667,Galeton Water & San District
-78.785861,42.853361,Cheektowaga (T) Sanitary Overflow
-86.375,39.538889,"Bethany, Town Of"
-80.410278,25.618611,Federal Correctional Instituti
-90.189444,46.466111,Gogebic-Iron Ww Authority Wwtp
-81.733611,37.338611,Bartley Post Office
-98.549833,28.913472,City Of Jourdanton Wwtp
-88.619028,44.7675,Wolf Treatment Plant
-97.647861,29.657667,"City Of Luling, South Wwtp"
-76.788582,40.3187,U S Postal Service
-91.269306,43.942056,Holmen Wastewater Treatment Fa
-83.183149,38.731752,Ohio Dept Of Natural Resour
-92.384109,43.692359,Spring Valley
-88.146088,42.990685,New Berlin Public Schools
-89.96,40.771667,"Elmwood Stp, City Of"
-133.114444,55.388889,City Of Klawock Wwtp
-82.838167,36.111,Denzil Bowman Wastewater Treat
-100.760083,43.566,Swift Bear Community
-100.5112,41.48795,Stapleton Wastewater Treatment Facility
-90.619167,41.503778,"Davenport, City Of-West Locust Lagoon"
-84.713546,33.712609,3600 Chapel Hill Road
-87.9392,34.8138,Cherokee Lagoon
-94.1208,42.1664,Boxholm City Of Stp
-94.55984,43.08974,Cylinder City Of Stp
-74.037639,40.643639,Nycdep - Owls Head Wpcp
-83.423222,39.540889,Washington Court House Wwtp
-83.61319,39.73274,South Solon Wwtp
-81.04206,40.7472,West Community Center
-82.195833,33.654167,Us Army/J Strom Thurmond Pwrpl
-117.742451,48.273432,Chewelah Wwtp
-103.79954,41.92776,Mitchell Wastewater Treatment Facility
-90.278146,38.496688,Jefferson Barracks Natl
-97.10973,47.77582,Thompson City Of
-79.394812,39.504591,Deep Creek Lake Wwtp
-89.653333,38.001667,"Steeleville Stp, Village Of"
-94.4806,43.3881,Armstrong City Of Stp
-92.142347,31.045467,Village Of Hessmer Wwtf
-113.802778,48.184722,Flathead National Forest Goldie & Ben Creeks 318 Permit
-72.827877,41.513431,Meriden Wpcf
-89.93125,33.515278,North Carrollton Potw
-88.309194,44.069972,Stockbridge Wastewater Trtmnt
-87.70484,37.74269,"Corydon, City Of"
-94.350703,46.419947,East Gull Lake
-78.639222,42.03375,Limestone Wwtp
-89.141611,43.701944,Kingston Village
-72.013348,42.231774,Spencer W W T P
144.666667,13.283889,Umatac-Merizo Stp
-81.55811,41.38711,City Of Bedford
-69.632222,43.850833,Boothbay Harbor Wwtf
-98.649417,29.214583,City Of Somerset Wwtp
-87.731278,45.028083,Peshtigo City Wwtf
-119.4426,48.9233,Oroville Potw
-118.656667,35.165278,Bear Valley Csd Wwtf
-86.158093,40.662773,Usdaf Usaf Grissom Afb
-85.181667,40.025,Losantville Municipal Stp
-70.917488,41.908425,Middleborough S T P
-104.74275,38.723329,U.S. Dept. Of Army-Fort Carson
-91.15319,41.56323,Atalissa City Of Stp
-74.13975,41.385,Glenwood Hills Sd
-98.350865,40.61152,Hastings  Pollution Control Facility
-74.197,41.518361,Montgomery (T) Sd#2 And 2A Stp
-152.500792,57.738708,Us Coast Guard - Isc Kodiak Uscg
-73.636778,42.561889,Schodack (T) Sd#5
-96.849833,37.796833,"El Dorado, City Of"
-82.878611,42.426389,Grosse Pointe Shores Cso
-92.166877,37.679299,Flw - Ta 235A
-75.1675,38.7399,Howard Seymour Water Reclamation Plant
-92.133871,37.751914,"Flw - Battalion Headquarters, Bct Vi"
-79.00109,35.15939,Fort Bragg Swmu #103(Mallonee Village Gas Station)
-85.042222,43.208056,Sheridan Wwsl
-78.271919,35.813255,Little Creek Wwtp
-95.070833,41.903889,Manning City Of Stp
-93.989426,33.676625,Usacoe-White Cliffs-Saratoga Park
-83.87131,31.701154,N. Treatment Facility
-95.883333,32.7,City Of Edgewood Wwtf
-75.916667,42.033889,Parkwood Sd
-82.139526,31.564232,Odum  Las
-73.874444,40.650556,Nycdep - 26Th Ward Wpcp
-106.393889,39.641389,Vail Wwtf
-75.60775,44.197722,Antwerp (V) Wwtf
-117.476417,47.697722,Spokane Awwtp
-82.61132,41.21995,Christie Lane Sch & Workshop Hcbmr
-75.678524,41.37397,Scranton Vehicle Maintenance Facility
-70.833771,42.867323,Seabrook Wwtp
-90.175,38.95,"Godfrey Stp, Village Of"
-83.02,41.056917,Bloomville Wwtp
-81.887952,37.744496,Buffalo Creek Psd
-75.769972,44.031,Dol Transportation Division
-91.1733,42.2414,Monticello City Of Stp
-89.826667,37.898333,"Chester Wtp, City Of"
-87.216667,39.8875,Turkey Run Regional Waste Dist
-122.45824,45.54513,"Gresham, City Of"
-90.040629,29.202451,Us Coast Guard - Shore Maint.D
-94.682556,39.863361,Village Of Cosby Wwtf
-87.97945,42.29515,Coe-Butler Lake-Libertyville
-73.875278,42.8375,Riverview Landing Stp
-95.968722,36.615694,Ochelata Utilities Authority
-95.669722,29.856667,Addicks Utility District
-73.72108,44.71074,Dannemora (V) Stp
-77.06581,38.654561,Unknown
-94.110277,46.663259,Crosslake
-90.351944,41.47,Colona-Green Rock Regional-Stp
-109.572806,35.72,Ganado Wwtp
-121.378611,38.786667,Pleasant Grove Wwtp
-92.445454,41.728946,Millersburg City Of (Poweshiek Water Assn)
-78.010832,39.374489,Hillcrest/Nadenbousch
-81.0844,37.3853,Oakvale Road Psd
-85.848591,36.530612,Red Boiling Springs Lagoon
-81.92,26.684722,Veterans Administration Lee Co
-91.750115,30.698243,Melville Wwtp
-90.474444,34.461667,Lula Potw
-93.937889,44.329444,St. Peter Wastewater Facility
-92.80886,41.04269,Albia City Of Stp (North)
-74.282583,40.981139,Pompton Lakes Boro Mua
-106.122251,37.582503,Henderson Lagoon Facility
-76.719134,38.792058,Western Branch Wwtp
-84.283611,30.410833,Vehicle Maintenance Facility
-79.704497,34.858571,City Of Hamlet Wwtp
-80.938927,35.384071,Mcdowell Creek Wwtp
-157.974477,21.384613,Us Navy Pearl City Fuel Annex
-94.616667,43.666667,Welcom Wwtf
-79.041667,39.485278,Allegany County Combined Sewer
-78.161097,35.465217,Princeton Wwtp
-109.850701,40.26246,Fort Duchesne Wwtf
-76.57269,39.2,U.S. Coast Guard - Baltimore Y
-68.055833,44.336111,Schoodic District Wwtf
-78.91103,38.2155,New Hope Stp
-92.9644,44.6778,Vermillion
-89.411667,39.201667,"Irving Stp, Village Of"
-90.974741,36.2694,Walnut Ridge Ww Treatment Plnt
-84.829948,42.152689,Homer Wwsl
-79.361688,36.562639,Danville City - Northside
-90.334167,33.487528,Itta Bena Potw
-157.962333,21.327167,Unknown
-91.911694,44.311889,Alma Wastewater Treatment Faci
-81.205402,35.398735,River Street Wwtp
-89.971111,39.1125,"Royal Lakes Stp, Village Of"
-102.24896,48.80666,Bowbells City Of
-90.81861,41.95083,Lost Nation City Of Stp
-98.575096,45.161365,Northville - Town Of
-78.456125,39.672312,Greenridge Youth Camp Wwtp
-77.395811,41.773961,Us Geological Survey
-84.482984,35.0748,Tva Ocoee #3 Hydro
-88.875639,44.1565,North Lake Poygan Sd Ww Trtmnt
-85.090949,33.562523,City Of Carrollton (Las)
-89.108333,43.543333,Cambria Wastewater Treatment F
-90.075139,34.013028,Charleston Potw
-91.55541,42.5849,Dundee City Of Stp
-79.506667,37.333611,Bedford Wastewater Treatment Plant
-101.67171,47.9229,Ryder City Of
-73.942,41.038,Orangeburg Usarc
-84.254444,39.138056,Clermont Co Lower East Fork Ww
-118.419926,46.031407,College Place Stp
-90.80389,41.46056,"Montpelier Sanitary District, Village Of"
-89.1177,41.53911,"Mendota Stp, City Of"
-72.646204,41.567877,Portland Wpcf
-117.365549,48.863549,Metaline Falls Stp
-85.460246,36.53895,Dale Hollow National Fish Hatc
-88.863889,43.741667,Fairwater Wwtf
-103.125,40.654167,Sterling City Of
-77.5561,39.363435,Jefferson Wwtp
-83.909714,36.060582,Hallsdale-Powell-Raccoon V Stp
-98.78883,41.24277,Ashton Wastewater Treatment Facility
-89.822472,36.349194,Wardell Wwtf
-90.538889,41.69,Park View Sanitary Dist. Stp
-94.255278,42.158889,Paton City Of Stp
-88.446389,33.623056,Us Air Force
-79.37,36.09,Eastside Wwtp
-82.5388,27.8924,"Marine Reserve Training Center - Tampa, Fl"
-83.8693,43.6118,Bay City Wwtp
-70.52138,41.65166,Otis Air National Guard Base
-77.05805,38.903355,Gsa - (West Heating Plant)
-89.185,40.325,"Mclean Stp, Village Of"
-77.069703,39.870097,New Oxford Municipal Authority Wwtp
-78.565556,39.7025,Flintstone Wwtp
-104.708402,41.127152,Dry Creek Water Reclamation Facility
-95.4195,42.5093,Galva City Of Stp
-93.564694,36.903306,Crane Wwtf
-88.978333,37.923333,"Orient Stp, City Of"
-83.26072,36.09815,White Pine Stp
-109.40089,47.06997,Blm - Windy Point Dayuse
-81.529574,41.613968,Euclid Wwtp
-112.216886,41.238554,Little Mountain Service Area
-82.64479,40.90851,Shelby Wwtp
-92.15,45.333333,Turtle Lake Wastewater Treatme
-77.422803,37.519606,Richmond Wwtp
-77.102222,39.639444,Runnymede Wwtp
-78.21783,39.641793,Warm Springs Psd
-122.808694,45.0735,Mt. Angel Stp
-95.495194,30.369917,Panorama Village Wwtf
-77.599722,38.154722,John J Wright Middle School
-81.037889,39.845139,Beallsville Wwtp
-107.455863,44.030216,Ten Sleep Wastewater Lagoons
-82.74225,33.710667,Washington Wpcp (Rocky Crk)
-89.641389,39.860278,Springfield Sd- Spring Creek
-93.741722,36.978917,Aurora Wwtf
-83.92292,39.183002,Fayetteville Perry Twp Wwtp
-111.954444,48.996111,Sweet Grass Community Wwtf
-81.08904,41.283935,Garrettsville Wwtp
-88.538778,43.396611,Iron Ridge Village
-110.82018,39.59951,Manti-Lasal National Forest
-111.47506,36.9215,"Glen Canyon Nra, Rainbow Bridge Nm"
-89.8337,43.01856,Blue Mounds Wastewater Trtmnt
-81.664819,35.777102,Catawba River Pollution Control Facility
-152.500792,57.738708,Uscg Integrated Support Command - Kodiak Wwtp
-78.043878,35.194331,Mount Olive Wwtp
-102.626972,47.974694,Four Bears Wastewater Treatment System
-83.508238,36.452863,Springdale Elementary Schl
-79.244201,40.411736,Torrance Readiness Center
-98.500917,45.320361,"Warner, Town Of"
-78.635278,38.41,Elkton Stp
-84.748056,35.2875,Calhoun Elementary School
-95.322972,29.900778,Harris County Wcid 74 Wwtp
-106.731165,34.780084,Los Lunas Wwtp
-72.43515,41.39948,Deep River Wpcf
-85.716667,40.833333,Usda Usa Coe Slmn Lk Blw Dm
-88.001799,41.96927,"Itasca Stp, Village Of"
-77.624713,39.308435,Brunswick Water Trtmt Plant
-90.026667,39.131667,Shipman Stp
-88.183333,41.546944,Joliet Aux Sable Creek Wwtp
-99.651727,45.758001,"Eureka, City Of"
-86.2251,32.8875,Rockford Wwtp
-83.914752,44.191706,Village Of Prescott
-111.183028,47.515222,United Materials Of Great Falls - Repair Parking Lot For Building 510 Malmstrom
-95.213028,29.781278,City Of Houston
-112.773022,40.213831,English Valley Maint. Shop
-96.44282,33.048036,Lakeland Park Wwtf
-91.703181,32.148763,"Winnsboro, Town Of"
-116.570556,48.020278,City Of Sandpoint - Sand Creek Wtp
-79.551389,34.136389,Florence/Main Plant
-89.671944,41.453056,Manlius Wastewater Treatment Plant
-120.0136,46.294967,Port Of Sunnyside Iwwtf
-96.42759,41.09091,Memphis Wastewater Treatment Facility
-82.901977,40.503714,Village Of Cardington
-98.420472,43.131944,"Ravinia, Town Of"
-94.35363,44.87487,Hutchinson
-95.000206,29.729394,Unknown
-97.066665,31.518501,Waco Metro Area Regional Wwtps
-74.114865,40.64927,Bayonne Stp
-74.927194,39.920278,Mount Laurel Twp Mua
-77.900524,39.295907,Tuscawilla Utilities
-97.355083,27.990306,City Of Taft Baird Wwtf
-100.595417,46.396806,Cannonball Lagoon System
-82.755556,43.565,Deckerville Wwsl
-79.824767,40.112851,Marion Villa Stp
-80.98467,35.13994,United States Postal Service - Steele Creek Station
-83.483139,41.465167,Luckey Wwtp
-122.775197,48.900102,Birch Bay Stp
-77.445,38.281944,Fmc Wastewater Treatment Facil
-83.358231,36.334811,Grainger Co Bd Of Ed.
-84.180556,43.015833,Owosso/Mid Shiawassee Co Wwtp
-74.639603,40.677324,Bedminster Stp
-81.917345,30.698531,Town Of Hilliard
-81.80437,40.5218,Guggisberg Swiss Inn
-93.0503,44.9214,Mcws-Metro
-87.1875,36.414722,Oak  Plains Academy
