name,latitude,longitude,authority,source,owner
Glen Canyon Dam,36.936614,-111.483872,Western Area Power Administration - Desert Southwest Region,Lake Powell - Colorado River,WAPA-- Western Area Power Administration
Hoover Dam (NV),36.015510,-114.738006,Western Area Power Administration - Desert Southwest Region,Lake Mead  - Colorado River,WAPA-- Western Area Power Administration
Lake Creek Dam,40.493631,-111.312506,PacifiCorp - East,Lake Creek,Heber Light & Power Company
Apache Station,32.060300,-109.893100,Western Area Power Administration - Desert Southwest Region,Wells,Arizona Electric Pwr Coop Inc
Turlock Lake,37.611461,-120.594678,Turlock Irrigation District,Turlock Lake,Turlock Irrigation District
Hickman,37.621536,-120.746247,Turlock Irrigation District,Main Canal,Turlock Irrigation District
Big Pine,24.579167,-81.685000,,,
GREC,36.190278,-95.289400,Southwest Power Pool,Grand Neosho,Grand River Dam Authority
Carpenter,34.442500,-93.026200,"Midcontinent Independent Transmission System Operator, Inc..",Lake Hamilton,Entergy Arkansas Inc
Cecil Lynch,34.753500,-92.198700,"Midcontinent Independent Transmission System Operator, Inc..",Arkansas River,Entergy Arkansas Inc
Hamilton Moses,34.980600,-90.872200,"Midcontinent Independent Transmission System Operator, Inc..",L'Anquille River,Entergy Arkansas Inc
Harvey Couch,33.359200,-93.464900,"Midcontinent Independent Transmission System Operator, Inc..",Wells,Entergy Arkansas Inc
Lake Catherine,34.434100,-92.904900,"Midcontinent Independent Transmission System Operator, Inc..",Lake Catherine,Entergy Arkansas Inc
Mabelvale,34.635997,-92.409602,"Midcontinent Independent Transmission System Operator, Inc..",Air Cooled Condensor,Entergy Arkansas Inc
Osceola (AR),35.689300,-89.994000,"Midcontinent Independent Transmission System Operator, Inc..",NA,Entergy Arkansas Inc
Robert E Ritchie,34.462900,-90.598700,"Midcontinent Independent Transmission System Operator, Inc..",Mississippi River,Entergy Arkansas Inc
Remmel,34.427200,-92.894100,"Midcontinent Independent Transmission System Operator, Inc..",Lake Catherine,Entergy Arkansas Inc
Volta 2,40.451930,-121.862150,California Independent System Operator,Cross Country Canal,Pacific Gas & Electric Co
Beaver Dam,36.421507,-93.847373,Southwestern Power Administration,Beaver Lake,Southwestern Power Administration
Degray,34.211913,-93.110963,"Midcontinent Independent Transmission System Operator, Inc..",Caddo River,Entergy Arkansas Inc
Greers Ferry Lake,35.520700,-91.995300,Southwestern Power Administration,Greers Ferry Lake,Southwestern Power Administration
Paragould,36.060556,-90.521389,Southwestern Power Administration,Wells,Paragould Light & Water Comm
Municipal Light,36.385800,-90.186700,Southwestern Power Administration,Municipality,Southwestern Power Administration
Narrows (AR),34.148427,-93.715168,Southwest Power Pool,Little Missouri River,Southwestern Electric Power Co
Norfork,36.249100,-92.240100,Southwestern Power Administration,Norfork Lake,Southwestern Power Administration
Blakely Mountain,34.570984,-93.194425,"Midcontinent Independent Transmission System Operator, Inc..",Ouachita River,Entergy Arkansas Inc
Bull Shoals,36.363500,-92.576300,Southwestern Power Administration,Bull Shoals Lake,Southwestern Power Administration
Dardanelle,35.250300,-93.168600,Southwestern Power Administration,Arkansas River,Southwestern Power Administration
Thomas Fitzhugh,35.462382,-93.804926,Southwest Power Pool,Arkansas River,Southwestern Electric Power Co
Carl Bailey,35.260102,-91.363426,"Midcontinent Independent Transmission System Operator, Inc..",White River,Entergy Arkansas Inc
McClellan (AR),33.564800,-92.791700,"Midcontinent Independent Transmission System Operator, Inc..",Ouachita River,Entergy Arkansas Inc
Clinton Power Station,40.171900,-88.833900,"Midcontinent Independent Transmission System Operator, Inc..",Salt Creek,Ameren Illinois Company
St Johns River Power Park,30.430800,-81.550800,JEA,St. Johns River,JEA
Wolf Creek Generating Station,38.239260,-95.689780,Southwest Power Pool,Wolf Creek Cooling Lake,Kansas Gas & Electric Co
Alta Powerhouse,39.215979,-120.803550,California Independent System Operator,Towle Canal,Pacific Gas & Electric Co
Angels,38.071944,-120.539444,California Independent System Operator,North Fork Stanislaus River,Pacific Gas & Electric Co
Balch 1,36.909137,-119.087712,California Independent System Operator,North Fork Kings River,Pacific Gas & Electric Co
Balch 2,36.908907,-119.087556,California Independent System Operator,North Fork Kings River,Pacific Gas & Electric Co
Belden,40.007445,-121.249438,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
Bucks Creek,39.910620,-121.327692,California Independent System Operator,Bucks Creek,Pacific Gas & Electric Co
Butt Valley,40.175656,-121.190663,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
Caribou 1,40.085476,-121.148241,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
Caribou 2,40.085997,-121.149373,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
Centerville PH,39.788877,-121.657383,California Independent System Operator,Big Butte Creek,Pacific Gas & Electric Co
Chili Bar,38.771764,-120.813239,California Independent System Operator,South Fork American River,Pacific Gas & Electric Co
Coal Canyon,39.605043,-121.600525,California Independent System Operator,West Branch Feather River,Pacific Gas & Electric Co
Coleman PH,40.404645,-122.121904,California Independent System Operator,Battle Creek,Pacific Gas & Electric Co
Cow Creek,40.570817,-122.020930,California Independent System Operator,South Cow Creek,Pacific Gas & Electric Co
Cresta,39.825907,-121.409687,California Independent System Operator,North Fork Feather River,Pacific Gas & Electric Co
De Sabla,39.869265,-121.631819,California Independent System Operator,Big Butte Creek,Pacific Gas & Electric Co
Deer Creek PH,39.298070,-120.844300,California Independent System Operator,Deer Creek,Pacific Gas & Electric Co
Drum 1,39.256873,-120.767437,California Independent System Operator,Bear River,Pacific Gas & Electric Co
Drum 2,39.257388,-120.767046,California Independent System Operator,Bear River,Pacific Gas & Electric Co
