name,population,latitude,longitude
Henrico Doctors' Hospital - Parham,200,37.63171005,-77.52602103
Cooley Dickinson Hospital,140,42.3302,-72.6532
Selby General Hospital,25,39.44009096,-81.44401173
Wyandot Memorial Hospital,31,40.84029938,-83.2799569
Southcoast Hospitals Group - Tobey Hospital Campus,74,41.7561,-70.7144
Beth Israel Deaconess Hospital Plymouth,155,41.9428,-70.6451
Mayo Clinic Health Sys Waseca,35,44.08172898,-93.50822249
Cary Medical Center,65,46.87957843,-68.00832021
Shriners Hospital For Children,40,44.95854425,-93.21064793
Sioux Falls Veterans Affairs Medical Center,-999,43.53110184,-96.75505857
Municipal Hosp & Granite Manor,30,44.80851273,-95.54328863
Essentia Hlth St Marys Detroit,87,46.81484228,-95.84367917
North Valley Health Center,20,48.19460728,-96.77497025
Mcleod Loris,105,34.0574707,-78.89889314
Healtheast Woodwinds Hospital,86,44.92190887,-92.97647665
Minnesota Valley Hlth Ctr Inc,15,44.45408513,-93.91525319
Our Lady Of Lourdes Memorial Hospital,242,42.09138643,-75.93693498
Rumford Hospital,25,44.55157753,-70.55643433
Arbuckle Memorial Hospital,25,34.5049883,-96.99613712
Wca Hospital,245,42.09127224,-79.23212031
Roane Medical Center,54,35.88860486,-84.55600706
Southwest Idaho Advanced Care Hospital,40,43.60334971,-116.2644308
Chesapeake Regional Medical Center,310,36.74550925,-76.24603947
Power County Hospital District,10,42.78144858,-112.8486307
Martha Jefferson Hospital,176,38.02258118,-78.44438962
Vernon M. Geddy Jr. Outpatient Center,-999,37.33745961,-76.74159568
Inova Alexandria Hospital,318,38.82212364,-77.10553472
Saint Alphonsus Medical Center - Nampa,152,43.55184662,-116.5714522
West Valley Medical Center,150,43.65432793,-116.6942759
Cortland Regional Medical Center,162,42.60883147,-76.1873217
Lewisgale Hospital Pulaski,135,37.06817522,-80.75728261
Bon Secours Depaul Medical Center,180,36.89948466,-76.28162015
Sentara Leigh Hospital,250,36.85084267,-76.18962947
Valley Health Warren Memorial Hospital,60,38.9303431,-78.19835145
Madison Memorial Hospital,69,43.82577979,-111.7708867
Mercy Hospital Watonga,25,35.84955797,-98.41863129
Salem Va Medical Center,288,37.27396039,-80.01844528
Bon Secours Health Center At Harbour View,-999,36.86857265,-76.44189922
Lakeview Medical Center,-999,36.76054906,-76.5945602
Danville Regional Medical Center,250,36.57771385,-79.40545975
Southern Virginia Regional Medical Center,80,36.70157604,-77.53768307
Fauquier Hospital,97,38.71276596,-77.8090621
Peacehealth Cottage Grove Community Hospital,14,43.80372788,-123.0396968
Wellmont Mountain View Regional Medical Center,133,36.94446004,-82.62546425
Dickenson Community Hospital And Green Oak Behavioral Health,25,37.16067851,-82.44904833
Virginia Hospital Center,334,38.88888179,-77.12727766
Mount Ascutney Hospital & Health Center,35,43.48749612,-72.40314886
Bon Secours St. Francis Medical Center,130,37.46669461,-77.65863951
Holzer Medical Center Jackson,24,39.03230666,-82.64076025
St. Elizabeth Grant,25,38.64720365,-84.57816843
Harrison Community Hospital,25,40.25742147,-80.97730937
Fostoria Community Hospital,25,41.16299548,-83.42422891
Shriners' Hospital For Children-Greenville,50,34.81724949,-82.4131781
Ghs Hillcrest Memorial Hospital,43,34.72018561,-82.2482302
Tidelands Georgetown Memorial Hospital,131,33.37964269,-79.28455341
Tidelands Waccamaw Community Hospital,167,33.56046875,-79.0427253
Coastal Carolina Hospital,41,32.3150338,-81.05396235
North Valley Hospital,22,48.70700189,-119.4387312
Kershawhealth,121,34.25285564,-80.59034229
Springs Memorial Hospital,211,34.71768707,-80.78772137
Children'S Rehabilitation Center,11,34.9101138,-81.88044733
Meadville Medical Center,217,41.641648,-80.145882
Marlboro Park Hospital,94,34.63628184,-79.69711175
Mcleod Health Clarendon,81,33.68671298,-80.21153903
Chester Regional Medical Center,82,34.68448242,-81.18315328
Ghs Laurens County Hospital,76,34.4814708,-81.94082197
Colleton Medical Center,131,32.922821,-80.66991082
Anmed Health North Women'S And Children'S Hospital,72,34.54557143,-82.62888111
Lutheran Hospital,203,41.48763338,-81.70726289
Lieber Correctional Institution Infirmary,10,33.08533946,-80.29073136
South Carolina Vocational Rehabilitation Evaluation Center,30,33.95186866,-81.10788392
Morris Village,174,34.08929901,-80.98695717
Willow Lane Infirmary,8,34.07261656,-81.11140112
Palmetto Health Baptist Hospital,391,34.00678687,-81.03316804
Baptist Easley Hospital,109,34.840659,-82.60685299
Hilton Head Hospital,93,32.22404532,-80.71505734
Three Rivers Hospital,44,48.10622607,-119.7826329
Providence Centralia Hospital,100,46.71240448,-122.9855806
Lincoln Hospital,60,47.65792772,-118.1453598
St. Anthony Hospital,80,47.36302274,-122.6135502
Newport Hospital & Health Services,74,48.1824222,-117.0491978
Rockingham Memorial Hospital,270,38.43989519,-78.87130607
Peacehealth St John Medical Center - Broadway Campus,-999,46.13711603,-122.9244332
Grays Harbor Community Hospital - East,-999,46.9812624,-123.8205586
Mark Reed Health Care Clinic,24,47.05579212,-123.2602846
Dewitt Army Community Hospital,46,38.70024448,-77.13652168
Wenatchee Valley Hospital,40,47.43352928,-120.3230866
Swedish Medical Center - Ballard Campus,183,47.66737354,-122.3795497
Va Puget Sound Health Care System Seattle,504,47.56323103,-122.3080257
Swedish Medical Center - Cherry Hill Campus,214,47.60772122,-122.3105979
North Side Hospital,139,36.35181545,-82.37319145
Swedish Medical Center - Issaquah Campus,-999,47.55145323,-122.0654438
Group Health Eastside Hospital,-999,47.63429471,-122.135403
U.S. Coast Guard Base Seattle Medical Clinic,-999,47.59024221,-122.337913
Bremerton Naval Hospital,40,47.59499772,-122.6915605
Naval Branch Health Clinic Bangor,-999,47.69416655,-122.7053359
East Adams Rural Hospital,8,47.12121882,-118.3718866
Legacy Meridian Park Medical Center,130,45.37843238,-122.7407793
Providence Willamette Falls Medical Center,89,45.35623379,-122.5871077
Providence St Vincent Medical Center,528,45.51067387,-122.7717601
Tuality Community Hospital,215,45.51948918,-122.9781856
Legacy Good Samaritan Medical Center,248,45.53025901,-122.6974913
Providence Portland Medical Center,400,45.52753355,-122.6135062
Shriners Hospital For Children-Portland,-999,45.50078993,-122.6844091
Blue Mountain Recovery Center,59,45.67137216,-118.8218042
St. Mary'S Hospital And Clinics,25,46.05038016,-116.3532995
Silverton Hospital,48,45.00466592,-122.7900731
Weiser Memorial Hospital,25,44.24872401,-116.9624413
Samaritan Lebanon Community Hospital,25,44.55132696,-122.9069641
Sisters Of Charity Hospital,290,42.92843689,-78.84845864
Bertrand Chaffee Hospital,24,42.50896399,-78.6585669
Sisters Of Charity Hospital - St Joseph Campus,123,42.91430436,-78.78240154
Elizabethtown Community Hospital,25,44.215377,-73.59552465
Nathan Littauer Hospital,74,43.07158611,-74.33192173
Alice Hyde Medical Center,76,44.85673515,-74.29129248
United Memorial Medical Center Bank Street Campus,20,42.99865008,-78.18111288
Samaritan Medical Center,294,43.96504348,-75.9145579
Lewis County General Hospital,31,43.79579021,-75.49911806
Rochester General Hospital,528,43.19224113,-77.58681449
Syosset Hospital,103,40.81087429,-73.50866605
Plainview Hospital,219,40.77495423,-73.47853471
Eastern Niagara Hospital,140,43.17737108,-78.67114428
Niagara Falls Memorial Medical Center,171,43.09392082,-79.04971013
Degraff Memorial Hospital,66,43.02541801,-78.86234244
Mount St. Mary'S Hospital,175,43.15418402,-79.03243072
Faxton-St. Luke'S Healthcare - St. Luke'S Campus,370,43.09673342,-75.27589377
Crouse Hospital,466,43.04129917,-76.13839401
Clifton Springs Hospital,154,42.95970084,-77.13651575
Oswego Hospital,126,43.45401657,-76.51637765
Aurelia Osborn Fox Memorial Hospital,60,42.45779332,-75.05215348
Snoqualmie Valley Hospital,25,47.51272014,-121.8857629
Good Samaritan Hospital - Suffern,286,41.11159578,-74.13481142
Lincoln Trail Behavioral Health System,140,37.78792368,-85.91478063
Massena Memorial Hospital,50,44.93623403,-74.90874009
Ellis Health Center,-999,42.80485019,-73.91579101
Vista Medical Center West,67,42.35842711,-87.8666538
St Marys Hospital,98,41.11359098,-88.83458224
Osf Saint Elizabeth Medical Center,90,41.35770165,-88.82441327
Illinois Valley Community Hospital,56,41.32886857,-89.12433375
Medstar Good Samaritan Hospital,287,39.35839578,-76.58728282
Saint Agnes Hospital,344,39.27276991,-76.67211911
Medstar Union Memorial Hospital,238,39.3290403,-76.61473935
Exeter Hospital,100,42.98266309,-70.93555834
Healthsouth Rehabilitation Hospital,50,43.19977474,-71.56283486
St Charles Hospital And Rehabilitation Center,243,40.94663123,-73.06096322
Fleming County Hospital,52,38.42215105,-83.75154531
Baptist Health Lexington,344,38.01880519,-84.51185771
Cayuga Medical Center,212,42.46898507,-76.53748416
Grover M. Herman Hospital,15,41.74029193,-75.04741551
Glens Falls Hospital,410,43.30662939,-73.64631274
Eastern State Hospital,195,38.08292406,-84.49795434
Northern Westchester Hospital,245,41.19705408,-73.72570075
Deer'S Head Center,81,38.38229856,-75.5957198
Maimonides Medical Center,679,40.63947888,-73.99845264
Harrison Memorial Hospital,61,38.38396873,-84.27768646
Metropolitan Hospital Center,338,40.78492694,-73.94453023
Mount Sinai Hospital,1144,40.78976753,-73.95321427
Queens Hospital Center,247,40.71707221,-73.80455619
Memorial Hospital Of Carbondale,159,37.72744555,-89.22059253
Iroquois Memorial Hospital,84,40.76560189,-87.73251748
Trigg County Hospital Inc.,25,36.86634023,-87.82153878
Southern Kentucky Rehabilitation Hospital,60,36.95703881,-86.44648889
Forest Hills Hospital,222,40.72899467,-73.85150671
Woodhull Medical And Mental Health Center,388,40.69952267,-73.94237898
Millard Fillmore Suburban Hospital,265,42.99403948,-78.73023829
Albany Memorial Hospital,165,42.67418337,-73.748675
Kingsbrook Jewish Medical Center,303,40.65944045,-73.93354531
Lenox Hill Healthplex,-999,40.73773991,-74.00074457
Long Island Jewish Medical Center,1025,40.75434328,-73.70810636
Montefiore Mount Vernon Hospital,176,40.91289836,-73.840562
Mary Breckinridge Arh Hospital,25,37.16410598,-83.37858386
Mount Sinai Hospital - Mount Sinai Hospital Of Queens,228,40.76829506,-73.92488434
Oneida Healthcare,101,43.07770601,-75.65449007
John T Mather Memorial Hospital Of Port Jefferson New York Inc,248,40.9390674,-73.05439851
Memorial Hospital Association,18,40.40799681,-91.11326503
Advocate Eureka  Hospital,18,40.72138986,-89.27158643
The Unity Hospital Of Rochester,311,43.19291838,-77.70515091
Herrin Hospital,114,37.8010121,-89.02631327
Medstar Saint Mary'S Hospital,95,38.30213763,-76.63827028
Montefiore Med Center - Jack D Weiler Hosp Of A Einstein College Div,421,40.84988921,-73.84589022
Tri Town Regional Healthcare,4,42.3041547,-75.39546902
Marion Il Va Medical Center,225,37.72431427,-88.954816
Cgh Medical Center,99,41.80220562,-89.69665558
Doctors' Community Hospital,190,38.98269454,-76.8652504
United Memorial Medical Center North Street Campus,111,43.00506087,-78.17663186
University Hospital Of Brooklyn,342,40.65484188,-73.94422785
Nyu Hospitals Center,844,40.7420469,-73.97392933
Sjrh - St Johns Division,225,40.96891353,-73.88614692
St Joseph'S Medical Center,194,40.92925602,-73.89769468
Staten Island Univ Hosp-Concord Div,-999,40.60306403,-74.09182025
Mount Sinai Beth Israel,825,40.73310481,-73.98177078
Tlc Health Network Lake Shore Hospital,45,42.55848862,-79.12583875
St Josephs Hospital,125,42.09195035,-76.7984345
Keller Army Community Hospital,-999,41.40187124,-73.97713704
Va Medical Center - Batavia,-999,43.0133403,-78.19787395
Va Medical Center - Albany Stratton,-999,42.65080818,-73.7719446
Va Medical Center - Buffalo,-999,42.95109263,-78.81215039
Va Medical Center - Manhattan Campus,-999,40.73688147,-73.97707927
Va Medical Center - Northport,-999,40.89367574,-73.30869305
Va Medical Center - Brooklyn Campus,-999,40.60792285,-74.02418643
St. Albans Community Living Center,-999,40.69064667,-73.76867577
Mallard Fillmore Gates,-999,42.91923203,-78.8671111
Cape Regional Medical Center,242,39.08761376,-74.81717152
Midwest Medical Center,25,42.44917757,-90.4577401
Good Samaritan Regional Hlth Center,146,38.3223146,-88.91029407
Wayne County Hospital,25,36.81986477,-84.86689261
Baptist Regional Medical Center,273,36.9228222,-84.11972991
Barbourville Arh Hospital,25,36.85105102,-83.87016565
Saint Joseph Hospital London,150,37.11771211,-84.10900237
Three Rivers Medical Center,90,38.09248664,-82.6044083
Clifton T Perkins Hospital Center,250,39.13984869,-76.7953656
Howard County General Hospital,253,39.21435984,-76.88586971
Sheppard Pratt At Ellicott City,78,39.25569234,-76.79311804
Big Bend Regional Medical Center,25,30.38394439,-103.6704807
Yoakum County Hospital,24,32.96857601,-102.8358621
Coryell Memorial Hospital,25,31.43513711,-97.77919934
Hamlin Memorial Hospital,25,32.88589548,-100.13516
Otto Kaiser Memorial Hospital,25,28.8506567,-97.87825546
Seton Edgar B Davis Hospital,25,29.67317456,-97.65449953
Sheppard And Enoch Pratt Hospital,322,39.39075299,-76.61942687
University Of Maryland Saint Joseph Medical Center,320,39.38805718,-76.61106352
Pinckneyville Community Hospital,25,38.08106974,-89.38331938
Chi St Joseph Health Grimes Hospital,25,30.39244908,-96.07767218
Rochelle Community Hospital,16,41.92831445,-89.06342974
Palacios Community Medical Center,17,28.71692636,-96.21422746
Fisher County Hospital District,14,32.83343986,-100.4360428
Lynn County Hospital District,24,33.16728156,-101.8161512
Throckmorton County Memorial Hospital,14,33.18990414,-99.17664894
Swisher Memorial Hospital,20,34.53595958,-101.7556051
Culberson Hospital,14,31.04917326,-104.8275086
Rush University Medical Center,669,41.87457186,-87.66890982
Jackson Park Hospital,260,41.75773061,-87.58523506
Rankin County Hospital District,15,31.23288787,-101.9353661
South Shore Hospital,137,41.74932739,-87.56899688
Norwegian-American Hospital,155,41.90079984,-87.69909548
Advocate South Suburban Hospital,240,41.56630404,-87.69756973
Oak Forest Hospital,148,41.5996574,-87.73410328
"Thc Chicago, Inc. - Dba Kindred Hospital - Sycamore",69,41.9829477,-88.68895879
St. Claire Regional Medical Center,149,38.17947045,-83.43932425
Central State Hospital,192,38.27219096,-85.55809622
Saint Joseph Berea,25,37.57609496,-84.28657055
Marshall County Hospital,25,36.86708362,-88.36979939
Frazier Rehab Institute,135,38.24895576,-85.75021846
Norton Audubon Hospital,432,38.2151274,-85.72281365
Norton Brownsboro Hospital,127,38.31532568,-85.57589445
The Brook Hospital - Kmi,94,38.2725393,-85.59647878
Northkey Community Care-Intensive Services,57,39.04960905,-84.5293474
St Francis Hospital,142,38.35346177,-81.63324072
Grant Memorial Hospital,61,39.00141868,-79.13699714
Montgomery General Hospital,69,38.18267304,-81.32439917
St. Elizabeth Covington,151,39.07134837,-84.51799989
Williamson Memorial Hospital,76,37.67881896,-82.27264885
Potomac Valley Hospital,25,39.40950767,-79.00318076
Va Medical Center - Huntington,-999,38.37688048,-82.51641474
Va Medical Center - Martinsburg,-999,39.41771145,-77.91111267
Middlesboro Arh Hospital,96,36.60582647,-83.74019273
St Elizabeth Hospital,260,38.51112044,-89.98916398
Harrisburg Medical Center,73,37.73104361,-88.52313398
Presence Covenant Medical Center,181,40.11797111,-88.22710726
"Porter Medical Center, Inc.",25,44.00043082,-73.16824244
Greenville Regional Hospital,150,38.90320971,-89.40764482
Swedishamerican Medical Center Belvidere,-999,42.24301226,-88.8397451
Shelby Memorial Hospital,30,39.40578183,-88.80795064
Lourdes Hospital,359,37.05063902,-88.64736896
Chattooga Medical Center,31,34.49966842,-85.3304196
S. E. Lackey Critical Access Hospital & Swingbed,35,32.36603131,-89.47023244
Simpson General Hospital,35,31.96907265,-89.88649447
Quitman County Hospital,33,34.24695538,-90.2775025
Pioneer Health Services Of Newton County,30,32.35620681,-89.12786608
Greene County Hospital,7,31.15399173,-88.56278243
University Hospital And Clinics - The University Of Mississippi Medical Center,697,32.32947228,-90.17314608
The Specialty Hospital Of Meridian,49,32.36961231,-88.6972544
Baptist Memorial Hospital - North Ms,217,34.34882029,-89.52019895
Baptist Memorial Hospital - Union County,153,34.49783221,-89.02806743
North Sunflower Medical Center,35,33.7344354,-90.54545455
Medical/Dental Facility At Parchman,56,33.91843957,-90.49900793
Tallahatchie General Hospital,18,34.00405634,-90.05883233
Merit Health Natchez,179,31.52748985,-91.3917923
Baptist Medical Center - Attala,25,33.06586615,-89.59836339
Singing River Hospital,435,30.37639407,-88.53344391
Hancock Medical Center,102,30.31677449,-89.35433795
Merit Health Biloxi,198,30.39593868,-88.88975065
Garden Park Medical Center,130,30.44409012,-89.09343366
Benefis Teton Medical Center,40,47.81409763,-112.1927115
Central Montana Medical Center,90,47.05859421,-109.443954
Cabinet Peaks Medical Center,25,48.39154557,-115.547972
Holy Rosary Healthcare,90,46.39532157,-105.8280604
St Luke Community Hospital - Cah,105,47.52867648,-114.1070447
Roundup Memorial Healthcare,25,46.45371666,-108.5457052
Daniels Memorial Hospital,54,48.78824639,-105.418244
Granite County Medical Center,9,46.33007221,-113.2941639
Poplar Community Hospital,20,48.11532759,-105.1928975
St James Healthcare,98,46.00851666,-112.5455135
Community Medical Center Inc,151,46.84737836,-114.0478795
St Patrick Hospital,253,46.87591,-113.99991
Bozeman Health Big Sky Medical Center,4,45.26038213,-111.3009312
Livingston Healthcare,25,45.67515288,-110.5267903
Vidant Bertie Hospital,6,35.98864755,-76.92824949
Novant Health Thomasville Medical Center,149,35.87988512,-80.11147956
Vidant Chowan Hospital,89,36.06997928,-76.61120353
Duke Regional Hospital,369,36.03679359,-78.90025454
Carolinas Medical Center,1023,35.20389989,-80.8389018
Park Ridge Hospital,103,35.3900433,-82.48819301
Kindred Hospital - Greensboro,124,36.04926383,-79.77036502
Wilson Medical Center,317,35.71855867,-77.94381309
Yadkin Valley Community Hospital,22,36.13528392,-80.67112548
"Transylvania Community Hospital, Inc. And Bridgeway",94,35.2561391,-82.71191029
Swain Community Hospital,48,35.43448549,-83.44479257
Lifebrite Community Hospital Of Stokes,93,36.418068,-80.23107621
Brunswick Community Hospital,60,34.00895807,-78.29090656
Columbus Regional Healthcare System,154,34.33773429,-78.69412409
Sakakawea Medical Center - Cah,13,47.29863667,-101.6106
Cooperstown Medical Center,18,47.44595605,-98.11855687
Mercy Hospital Of Valley City,25,46.92838832,-97.99403843
Ccmh & Clinics,20,48.76195731,-98.36602008
Sanford Bismarck,223,46.80794623,-100.7823385
Sanford Medical Center Fargo,380,46.88494449,-96.78605485
Essentia Health-Fargo,133,46.83148799,-96.82750545
Mercy Hospital Of Devil'S Lake,25,48.11570443,-98.84929745
Jamestown Regional Medical Center,25,46.89013142,-98.74662757
Sanford Hillsboro Medical Center - Cah,16,47.40325086,-97.05583793
Unity Medical Center,14,48.41100274,-97.41433135
Heart Of America Medical Center,25,48.36341557,-99.99724108
Tioga Medical Center,25,48.40300193,-102.9345071
Kenmare Community Hospital,25,48.67423835,-102.0844882
Trinity Hospitals,251,48.23222596,-101.2940853
Kearney Regional Medical Center,89,40.68205095,-99.11258973
Chi Health Creighton University Medical - Bergan Mercy,400,41.23963802,-96.03107033
Methodist Women'S Hospital,137,41.26463957,-96.21228906
Brodstone Memorial Hosp,25,40.02644338,-98.06594912
Sidney Regional Medical Center,25,41.13621214,-102.9521196
Select Specialty Hospital - Orlando South,64,28.4773875,-81.37017523
Winter Park Memorial Hospital,320,28.59864479,-81.32691114
Select Specialty Hospital - Palm Beach,60,26.60904408,-80.09145003
Wellington Regional Medical Center,233,26.65166218,-80.20506363
Healthsouth Treasure Coast Rehabilitation,80,27.66137346,-80.40030947
Bayfront Medical Center,395,27.76342061,-82.64208187
Ohsu Transplant Hospital,-999,45.49883469,-122.6858947
Northside Hospital,288,27.8255596,-82.70211199
H Lee Moffitt Cancer Ctr & Research Inst,206,28.06409872,-82.42130803
Kindred Hospital-Central Tampa,102,27.98914074,-82.4816085
South Bay Hospital,138,27.71355113,-82.36539141
St Joseph'S Hospital Behavioral Health Center,780,27.99167998,-82.48981847
Healthsouth Rehabilitation Hospital Of Spring Hill,80,28.53226363,-82.51696045
Oak Hill Hospital,230,28.53622406,-82.53409605
Doctors Memorial Hospital,48,30.12012164,-83.59332214
Englewood Community Hospital,100,26.95020845,-82.32660647
Healthsouth Rehabilitation Hospital Of Sarasota,96,27.3009395,-82.44264592
Venice Regional Medical Center,312,27.09116416,-82.44508918
Florida Hospital Altamonte,393,28.66537948,-81.37015839
Lawnwood Regional Medical Center & Heart,331,27.43196973,-80.34571831
Port St Lucie Hospital,75,27.29753006,-80.27111147
Promise Hospital Of Florida At The Villages,40,28.9098084,-82.01955424
"Villages Regional Hospital, The",299,28.95015878,-81.95833535
